protocol,window,horizon,model,term,n,issue_days,first_issue,last_issue,mae,rmse,bias,direction_accuracy,skill,overlapping_issue_pairs,total_issue_pairs
frozen_transfer,7,14,rolling,12,28,28,2026-08-03,2026-08-30,0.28031635951581174,0.31277768617628116,0.13593440959042116,0.32142857142857145,-0.39354403466482957,273,378
frozen_transfer,7,14,rolling,24,28,28,2026-08-03,2026-08-30,0.24049398416448492,0.25189421413881674,0.18689475089917088,0.21428571428571427,-1.67725491277257,273,378
frozen_transfer,7,14,rolling,6,28,28,2026-08-03,2026-08-30,0.3988811037017821,0.4758362262440949,-0.3083578271793554,0.6071428571428571,0.3079486381231279,273,378
frozen_transfer,7,14,rolling,all,84,28,2026-08-03,2026-08-30,0.30656381579402625,0.35949070006173167,0.004823777770078882,0.38095238095238093,-0.06033766477386959,273,378
frozen_transfer,7,14,unchanged,12,28,28,2026-08-03,2026-08-30,0.20115357142857165,0.288452151887573,-0.11617499999999982,0.6428571428571429,0.0,273,378
frozen_transfer,7,14,unchanged,24,28,28,2026-08-03,2026-08-30,0.08982857142857156,0.1731565682925636,-0.08625714285714281,0.7857142857142857,0.0,273,378
frozen_transfer,7,14,unchanged,6,28,28,2026-08-03,2026-08-30,0.5763749999999999,0.7268903849864259,-0.5742321428571427,0.17857142857142858,0.0,273,378
frozen_transfer,7,14,unchanged,all,84,28,2026-08-03,2026-08-30,0.2891190476190477,0.4624418784586675,-0.25888809523809514,0.5357142857142857,0.0,273,378
frozen_transfer,7,30,basket,12,12,12,2026-08-03,2026-08-14,0.31918417899481405,0.3762391830735775,0.31070671916638054,0.75,-0.09456466948754683,66,66
frozen_transfer,7,30,basket,24,12,12,2026-08-03,2026-08-14,0.4014482111769568,0.4443404480515196,0.4014482111769568,0.5,-1.0049854472566206,66,66
frozen_transfer,7,30,basket,6,12,12,2026-08-03,2026-08-14,0.7366505004898678,0.7590746395148721,-0.7366505004898678,1,0.4478054779724263,66,66
frozen_transfer,7,30,basket,all,36,12,2026-08-03,2026-08-14,0.48576096355387954,0.5523249843492299,-0.008165190048843477,0.75,0.2018714913881624,66,66
frozen_transfer,7,30,basket_abstain,12,12,12,2026-08-03,2026-08-14,0.31918417899481405,0.3762391830735775,0.31070671916638054,0.75,-0.09456466948754683,66,66
frozen_transfer,7,30,basket_abstain,24,12,12,2026-08-03,2026-08-14,0.4014482111769568,0.4443404480515196,0.4014482111769568,0.5,-1.0049854472566206,66,66
frozen_transfer,7,30,basket_abstain,6,12,12,2026-08-03,2026-08-14,0.7366505004898678,0.7590746395148721,-0.7366505004898678,1,0.4478054779724263,66,66
frozen_transfer,7,30,basket_abstain,all,36,12,2026-08-03,2026-08-14,0.48576096355387954,0.5523249843492299,-0.008165190048843477,0.75,0.2018714913881624,66,66
frozen_transfer,7,30,gap,12,12,12,2026-08-03,2026-08-14,0.3573333333333335,0.40156612780462436,-0.3573333333333335,0.25,-0.2253879347298049,66,66
frozen_transfer,7,30,gap,24,12,12,2026-08-03,2026-08-14,0.2156416666666665,0.27822910972793624,-0.2156416666666665,0.5,-0.07699671203229652,66,66
frozen_transfer,7,30,gap,6,12,12,2026-08-03,2026-08-14,1.3978000000000004,1.405900181971205,-1.3978000000000004,0.08333333333333333,-0.04779335977761856,66,66
frozen_transfer,7,30,gap,all,36,12,2026-08-03,2026-08-14,0.6569250000000001,0.859306331519144,-0.6569250000000001,0.2777777777777778,-0.0793592113370305,66,66
frozen_transfer,7,30,retail,12,12,12,2026-08-03,2026-08-14,0.3298974542301258,0.39346762275419345,0.3239758646059609,0.75,-0.1313032465811772,66,66
frozen_transfer,7,30,retail,24,12,12,2026-08-03,2026-08-14,0.4040756623827705,0.4448954376679999,0.4040756623827705,0.5,-1.018107940480812,66,66
frozen_transfer,7,30,retail,6,12,12,2026-08-03,2026-08-14,0.70429074906258,0.7443582067845531,-0.70429074906258,1,0.4720624050503819,66,66
frozen_transfer,7,30,retail,all,36,12,2026-08-03,2026-08-14,0.4794212885584921,0.5497932522385582,0.007920259308717105,0.75,0.21228788078292515,66,66
frozen_transfer,7,30,rolling,12,12,12,2026-08-03,2026-08-14,0.2973591582807657,0.3506033412197959,0.285710654198035,0.75,-0.01972105831714699,66,66
frozen_transfer,7,30,rolling,24,12,12,2026-08-03,2026-08-14,0.3971469889597306,0.4420475932457482,0.3971469889597306,0.5,-0.9835035033573765,66,66
frozen_transfer,7,30,rolling,6,12,12,2026-08-03,2026-08-14,0.6144937906570183,0.6365807920293465,-0.6144937906570183,1,0.5393743643761615,66,66
frozen_transfer,7,30,rolling,all,36,12,2026-08-03,2026-08-14,0.43633331263250485,0.49110890928915596,0.02278795083358244,0.75,0.28308348715135767,66,66
frozen_transfer,7,30,unchanged,12,12,12,2026-08-03,2026-08-14,0.291608333333333,0.36381292239281404,-0.29107499999999975,0.25,0.0,66,66
frozen_transfer,7,30,unchanged,24,12,12,2026-08-03,2026-08-14,0.20022499999999996,0.27184665867605096,-0.20022499999999996,0.5,0.0,66,66
frozen_transfer,7,30,unchanged,6,12,12,2026-08-03,2026-08-14,1.3340416666666666,1.3543801069739125,-1.3340416666666666,0,0.0,66,66
frozen_transfer,7,30,unchanged,all,36,12,2026-08-03,2026-08-14,0.6086249999999999,0.8247435808581153,-0.6084472222222221,0.25,0.0,66,66
frozen_transfer,14,14,basket,12,21,21,2026-08-10,2026-08-30,0.31562523757776384,0.32504515955281477,0.17959503704324442,0.23809523809523808,-0.5692710157286331,182,210
frozen_transfer,14,14,basket,24,21,21,2026-08-10,2026-08-30,0.2579234466216955,0.269919298286455,0.21104097526564955,0.23809523809523808,-1.4715456897356134,182,210
frozen_transfer,14,14,basket,6,21,21,2026-08-10,2026-08-30,0.23745631130670883,0.29250093146081,-0.17768099139826946,0.9047619047619048,0.3855559000639648,182,210
frozen_transfer,14,14,basket,all,63,21,2026-08-10,2026-08-30,0.27033499850205606,0.29668590475540996,0.07098500697020817,0.4603174603174603,-0.17206932210404946,182,210
frozen_transfer,14,14,basket_abstain,12,21,21,2026-08-10,2026-08-30,0.31562523757776384,0.32504515955281477,0.17959503704324442,0.23809523809523808,-0.5692710157286331,182,210
frozen_transfer,14,14,basket_abstain,24,21,21,2026-08-10,2026-08-30,0.2579234466216955,0.269919298286455,0.21104097526564955,0.23809523809523808,-1.4715456897356134,182,210
frozen_transfer,14,14,basket_abstain,6,21,21,2026-08-10,2026-08-30,0.23898690877990725,0.2927340864019471,-0.190436108210785,0.9047619047619048,0.38159531219157494,182,210
frozen_transfer,14,14,basket_abstain,all,63,21,2026-08-10,2026-08-30,0.27084519765978887,0.2967625474335498,0.06673330136603632,0.4603174603174603,-0.17428135082491591,182,210
frozen_transfer,14,14,gap,12,21,21,2026-08-10,2026-08-30,0.19907619047619082,0.32432790285670543,-0.12899047619047593,0.7142857142857143,0.010204323223714007,182,210
frozen_transfer,14,14,gap,24,21,21,2026-08-10,2026-08-30,0.11784285714285682,0.21007531189234635,-0.10957619047619013,0.7619047619047619,-0.12922655715263054,182,210
frozen_transfer,14,14,gap,6,21,21,2026-08-10,2026-08-30,0.4655095238095238,0.5344053049886388,-0.46361428571428576,0.14285714285714285,-0.20455665631623088,182,210
frozen_transfer,14,14,gap,all,63,21,2026-08-10,2026-08-30,0.2608095238095238,0.3807489353183167,-0.23406031746031727,0.5396825396825397,-0.1307705012800391,182,210
frozen_transfer,14,14,retail,12,21,21,2026-08-10,2026-08-30,0.3240826496762634,0.33475333047086936,0.20324952154740303,0.23809523809523808,-0.6113207953219968,182,210
frozen_transfer,14,14,retail,24,21,21,2026-08-10,2026-08-30,0.26866845023970004,0.2806086302634314,0.22771170385942188,0.23809523809523808,-1.5745094478821322,182,210
frozen_transfer,14,14,retail,6,21,21,2026-08-10,2026-08-30,0.23533887150720217,0.2712292337693904,-0.13361956333445926,0.7619047619047619,0.391035006450386,182,210
frozen_transfer,14,14,retail,all,63,21,2026-08-10,2026-08-30,0.27602999047438853,0.29685366366319776,0.09911388735745522,0.4126984126984127,-0.1967606325795186,182,210
frozen_transfer,14,14,rolling,12,21,21,2026-08-10,2026-08-30,0.30170718162578664,0.31209225252723316,0.16058095937048,0.23809523809523808,-0.500071220527383,182,210
frozen_transfer,14,14,rolling,24,21,21,2026-08-10,2026-08-30,0.24937875112383914,0.26091161687101005,0.19868695682856186,0.23809523809523808,-1.3896663352044785,182,210
frozen_transfer,14,14,rolling,6,21,21,2026-08-10,2026-08-30,0.20372740302527784,0.27001433730551067,-0.16945882765533857,0.9523809523809523,0.4728331283539312,182,210
frozen_transfer,14,14,rolling,all,63,21,2026-08-10,2026-08-30,0.2516044452583012,0.28188897829719006,0.06326969618123444,0.47619047619047616,-0.09086079577676154,182,210
frozen_transfer,14,14,unchanged,12,21,21,2026-08-10,2026-08-30,0.20112857142857182,0.30498545710839914,-0.11245238095238076,0.7142857142857143,0.0,182,210
frozen_transfer,14,14,unchanged,24,21,21,2026-08-10,2026-08-30,0.10435714285714301,0.19527371875932356,-0.10102380952380965,0.7619047619047619,0.0,182,210
frozen_transfer,14,14,unchanged,6,21,21,2026-08-10,2026-08-30,0.3864571428571427,0.4625079294043561,-0.38359999999999994,0.23809523809523808,0.0,182,210
frozen_transfer,14,14,unchanged,all,63,21,2026-08-10,2026-08-30,0.23064761904761918,0.33914674259953187,-0.19902539682539677,0.5714285714285714,0.0,182,210
frozen_transfer,14,30,basket,12,5,5,2026-08-10,2026-08-14,0.16790877550613417,0.23592148359940412,0.15667902834303507,1,0.6519015351477437,10,10
frozen_transfer,14,30,basket,24,5,5,2026-08-10,2026-08-14,0.23742598681113686,0.29502034272436917,0.23742598681113686,1,0.358308143753684,10,10
frozen_transfer,14,30,basket,6,5,5,2026-08-10,2026-08-14,0.570356433028673,0.5765513843618655,-0.570356433028673,1,0.541794054252488,10,10
frozen_transfer,14,30,basket,all,15,5,2026-08-10,2026-08-14,0.32523039844864804,0.3979562152861089,-0.0587504726248337,1,0.5347470839313229,10,10
