company_name,term_months,snapshot_rows,snapshot_dates,snapshot_contract_ids_not_lineages,snapshot_first,snapshot_last,snapshot_age_days_at_2026_09_13,snapshot_nonnull_energy_rows,snapshot_basis_counts,snapshot_segment_counts,snapshot_pricing_model_counts,snapshot_metering_counts,premium_rows_one_reference,premium_lineages,premium_first_observed,premium_last_observed,premium_age_days_at_2026_09_13,stored_component_period_keys_excluding_seams,unique_lineage_price_signatures_not_repricing_count,seam_rows,unresolved_seam_targets,chronology_pair_counts,method_counts,vat_counts,quality_counts,quality_flag_counts,nonnull_known_vat_rows_before_compatibility_filter,usable_general_premium_rows,usable_general_lineages,exclusion_reason_counts_nonexclusive,usable_included_rows,descriptive_included_median_cents_per_kwh,usable_excluded_rows,descriptive_excluded_median_cents_per_kwh,descriptive_status,supplier_forecast_status
Porvoon Energia Oy,6,70,70,4,2026-04-08,2026-06-16,89,70,"{""observed_seller_data"": 70}","{""fixed_term_6"": 70}","{""FixedPrice"": 70}","{""General"": 70}",0,0,,,,0,0,0,0,{},{},{},{},{},0,0,0,{},0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Porvoon Energia Oy,12,792,159,69,2026-04-08,2026-09-13,0,792,"{""canonical_calculation"": 242, ""observed_seller_data"": 550}","{""fixed_term_12"": 792}","{""FixedPrice"": 792}","{""General"": 477, ""Time"": 315}",61,29,2026-07-25,2026-09-12,1,61,61,0,0,"{""dated_energy_or_fee_change_component_pair"": 22, ""overlapping_period_pair_ambiguous"": 1}","{""retail-premium-v2"": 61}","{""excluded"": 9, ""included"": 52}","{""inferred"": 61}","{""calendar_period_unknown"": 61, ""multi_rate_component_not_aggregated"": 28}",61,33,20,"{""multi_rate_not_aggregate"": 28}",24,3.0404,9,2.2612,VAT-separated sample description only; representativeness not established,Not validated; no independent holdout comparison performed
Porvoon Energia Oy,24,952,159,73,2026-04-08,2026-09-13,0,952,"{""canonical_calculation"": 292, ""observed_seller_data"": 660}","{""fixed_term_24"": 952}","{""FixedPrice"": 952}","{""General"": 485, ""Time"": 467}",85,42,2026-07-25,2026-09-12,1,85,85,0,0,"{""dated_energy_or_fee_change_component_pair"": 27, ""overlapping_period_pair_ambiguous"": 4}","{""retail-premium-v2"": 85}","{""excluded"": 22, ""included"": 63}","{""inferred"": 85}","{""calendar_period_unknown"": 85, ""multi_rate_component_not_aggregated"": 38}",85,47,30,"{""multi_rate_not_aggregate"": 38}",25,2.5435,22,2.0234,VAT-separated sample description only; representativeness not established,Not validated; no independent holdout comparison performed
Sähkötytöt Oy,6,42,42,1,2026-04-08,2026-05-19,117,42,"{""observed_seller_data"": 42}","{""fixed_term_6"": 42}","{""FixedPrice"": 42}","{""General"": 42}",0,0,,,,0,0,0,0,{},{},{},{},{},0,0,0,{},0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Sähkötytöt Oy,12,56,56,1,2026-04-08,2026-06-02,103,56,"{""observed_seller_data"": 56}","{""fixed_term_12"": 56}","{""FixedPrice"": 56}","{""General"": 56}",0,0,,,,0,0,0,0,{},{},{},{},{},0,0,0,{},0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Sähkötytöt Oy,24,51,51,1,2026-04-08,2026-05-28,108,51,"{""observed_seller_data"": 51}","{""fixed_term_24"": 51}","{""FixedPrice"": 51}","{""General"": 51}",0,0,,,,0,0,0,0,{},{},{},{},{},0,0,0,{},0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Turku Energia Oy,6,152,152,10,2026-04-08,2026-09-13,0,152,"{""canonical_calculation"": 48, ""observed_seller_data"": 104}","{""fixed_term_6"": 152}","{""FixedPrice"": 152}","{""General"": 152}",13,4,2026-04-29,2026-09-12,1,12,11,1,0,"{""dated_energy_or_fee_change_component_pair"": 6, ""same_signature_new_key_not_proven_repricing"": 1}","{""retail-premium-history-v2"": 5, ""retail-premium-v2"": 8}","{""unknown"": 13}","{""inferred"": 13}","{""calendar_period_unknown"": 8, ""continues_prior_history_period"": 1, ""historical_relational_components"": 5, ""period_follows_lineage_absence"": 1, ""vat_mapping_propagated_to_history"": 5, ""vat_unknown"": 13}",0,0,0,"{""method_seam_not_independent"": 1, ""null_energy_premium"": 13, ""null_vat_matched_reference"": 13, ""unknown_or_mixed_energy_vat"": 13}",0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Turku Energia Oy,12,243,158,10,2026-04-08,2026-09-13,0,243,"{""canonical_calculation"": 48, ""observed_seller_data"": 195}","{""fixed_term_12"": 158, ""hybrid"": 85}","{""FixedPrice"": 158, ""Hybrid"": 85}","{""General"": 243}",18,7,2026-05-01,2026-09-12,1,17,14,1,0,"{""dated_energy_or_fee_change_component_pair"": 6, ""same_signature_new_key_not_proven_repricing"": 3}","{""retail-premium-history-v2"": 3, ""retail-premium-v2"": 15}","{""unknown"": 18}","{""inferred"": 18}","{""calendar_period_unknown"": 15, ""continues_prior_history_period"": 1, ""historical_relational_components"": 3, ""vat_mapping_propagated_to_history"": 3, ""vat_unknown"": 18}",0,0,0,"{""method_seam_not_independent"": 1, ""null_energy_premium"": 18, ""null_vat_matched_reference"": 18, ""unknown_or_mixed_energy_vat"": 18}",0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Turku Energia Oy,24,126,122,10,2026-05-13,2026-09-13,0,126,"{""canonical_calculation"": 50, ""observed_seller_data"": 76}","{""fixed_term_24"": 126}","{""FixedPrice"": 126}","{""General"": 126}",10,6,2026-07-23,2026-09-12,1,10,10,0,0,"{""dated_energy_or_fee_change_component_pair"": 4}","{""retail-premium-v2"": 10}","{""unknown"": 10}","{""inferred"": 10}","{""calendar_period_unknown"": 10, ""vat_unknown"": 10}",0,0,0,"{""null_energy_premium"": 10, ""null_vat_matched_reference"": 10, ""unknown_or_mixed_energy_vat"": 10}",0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
Vaasan Sähkö Myynti Oy,6,475,159,36,2026-04-08,2026-09-13,0,475,"{""canonical_calculation"": 145, ""observed_seller_data"": 330}","{""fixed_term_6"": 316, ""hybrid"": 159}","{""FixedPrice"": 316, ""Hybrid"": 159}","{""General"": 317, ""Time"": 158}",94,11,2026-04-16,2026-09-12,1,94,94,0,0,"{""dated_energy_or_fee_change_component_pair"": 56, ""overlapping_period_pair_ambiguous"": 1}","{""retail-premium-history-v2"": 48, ""retail-premium-v2"": 46}","{""unknown"": 94}","{""inferred"": 94}","{""calendar_period_unknown"": 46, ""discount_effect_unresolved"": 48, ""historical_relational_components"": 48, ""multi_rate_component_not_aggregated"": 62, ""vat_mapping_propagated_to_history"": 48, ""vat_unknown"": 94}",0,0,0,"{""discount_effect_unresolved"": 48, ""multi_rate_not_aggregate"": 62, ""null_energy_premium"": 94, ""null_vat_matched_reference"": 94, ""unknown_or_mixed_energy_vat"": 94}",0,,0,,No compatible known-VAT General premium baseline,Not validated; no independent holdout comparison performed
