id,horizon,cohort,protocol,cutoff,scope,term,training_basis,training_rows,training_days,test_rows,available
30|native|rolling_observed|2026-04-30|pooled|all,30,native,rolling_observed,2026-04-30,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-04-30|per_term|6,30,native,rolling_observed,2026-04-30,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-30|per_term|12,30,native,rolling_observed,2026-04-30,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-04-30|per_term|24,30,native,rolling_observed,2026-04-30,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-01|pooled|all,30,native,rolling_observed,2026-05-01,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-05-01|per_term|6,30,native,rolling_observed,2026-05-01,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-01|per_term|12,30,native,rolling_observed,2026-05-01,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-01|per_term|24,30,native,rolling_observed,2026-05-01,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-02|pooled|all,30,native,rolling_observed,2026-05-02,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-05-02|per_term|6,30,native,rolling_observed,2026-05-02,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-02|per_term|12,30,native,rolling_observed,2026-05-02,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-02|per_term|24,30,native,rolling_observed,2026-05-02,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-03|pooled|all,30,native,rolling_observed,2026-05-03,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-05-03|per_term|6,30,native,rolling_observed,2026-05-03,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-03|per_term|12,30,native,rolling_observed,2026-05-03,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-03|per_term|24,30,native,rolling_observed,2026-05-03,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-04|pooled|all,30,native,rolling_observed,2026-05-04,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-05-04|per_term|6,30,native,rolling_observed,2026-05-04,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-04|per_term|12,30,native,rolling_observed,2026-05-04,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-04|per_term|24,30,native,rolling_observed,2026-05-04,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-05|pooled|all,30,native,rolling_observed,2026-05-05,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-05-05|per_term|6,30,native,rolling_observed,2026-05-05,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-05|per_term|12,30,native,rolling_observed,2026-05-05,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-05|per_term|24,30,native,rolling_observed,2026-05-05,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-06|pooled|all,30,native,rolling_observed,2026-05-06,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-05-06|per_term|6,30,native,rolling_observed,2026-05-06,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-06|per_term|12,30,native,rolling_observed,2026-05-06,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-06|per_term|24,30,native,rolling_observed,2026-05-06,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-07|pooled|all,30,native,rolling_observed,2026-05-07,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-05-07|per_term|6,30,native,rolling_observed,2026-05-07,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-07|per_term|12,30,native,rolling_observed,2026-05-07,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-07|per_term|24,30,native,rolling_observed,2026-05-07,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-08|pooled|all,30,native,rolling_observed,2026-05-08,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-05-08|per_term|6,30,native,rolling_observed,2026-05-08,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-08|per_term|12,30,native,rolling_observed,2026-05-08,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-08|per_term|24,30,native,rolling_observed,2026-05-08,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-09|pooled|all,30,native,rolling_observed,2026-05-09,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-05-09|per_term|6,30,native,rolling_observed,2026-05-09,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-09|per_term|12,30,native,rolling_observed,2026-05-09,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-09|per_term|24,30,native,rolling_observed,2026-05-09,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-10|pooled|all,30,native,rolling_observed,2026-05-10,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-05-10|per_term|6,30,native,rolling_observed,2026-05-10,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-10|per_term|12,30,native,rolling_observed,2026-05-10,per_term,12,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-10|per_term|24,30,native,rolling_observed,2026-05-10,per_term,24,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-11|pooled|all,30,native,rolling_observed,2026-05-11,pooled,all,observed_seller_data,0,0,3,False
30|native|rolling_observed|2026-05-11|per_term|6,30,native,rolling_observed,2026-05-11,per_term,6,observed_seller_data,0,0,1,False
30|native|rolling_observed|2026-05-11|per_term|12,30,native,rolling_observed,2026-05-11,per_term,12,observed_seller_data,0,0,1,False
