supplier,term,contract_id,before,after,before_basis,after_basis,numeric_difference,before_price,after_price
Vihreä Älyenergia Oy,12,pk8hwv-vihrea-alyenergia-oy-vire-tuuli-kiintea-12-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.9900,10.9900
Vihreä Älyenergia Oy,24,rrd7bn-vihrea-alyenergia-oy-vire-tuuli-kiintea-24-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.6400,10.6400
Porvoon Energia Oy,12,0bfjov-porvoon-energia-oy-ilmastoviisas-12-kk-co2-paastottomasti-tuotettu,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,11.5000,11.5000
Porvoon Energia Oy,12,1eqb3j-porvoon-energia-oy-wind-12-kk-kotimainen-tuulisahko,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,11.7000,11.7000
Helen Oy,24,2gql3z-helen-oy-maaraaikainen-perussahko-24-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.8900,9.8900
Pohjois-Karjalan Sähkö Oy,12,74nzym-pohjois-karjalan-sahko-oy-optimi-takuu-12-kuukautta,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,12.2600,12.2600
Oomi Oy,24,9q43r4-oomi-oy-oomi-kiintea-24-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.5900,9.5900
Porvoon Energia Oy,24,cbtp1d-porvoon-energia-oy-eko-24-kk-luonnonsuojeluliiton-sertifioima-ekoenergia,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.2000,10.2000
Porvoon Energia Oy,24,e0ptpc-porvoon-energia-oy-wind-24-kk-kotimainen-tuulisahko,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.2000,10.2000
Porvoon Energia Oy,24,fkjlke-porvoon-energia-oy-ilmastoviisas-24-kk-co2-paastottomasti-tuotettu,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.0000,10.0000
Oomi Oy,12,gjd40q-oomi-oy-oomi-kiintea-12-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.9900,10.9900
Lumme Energia,12,jkhx1h-lumme-energia-vuosisahko-12-kk-hinta-joka-ei-heilu,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,10.9900,10.9900
Lumme Energia,24,rwukmo-lumme-energia-vuosisahko-24-kk-hinta-joka-ei-heilu,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,9.5900,9.5900
Helen Oy,6,t0eg9e-helen-oy-maaraaikainen-perussahko-6-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,13.7900,13.7900
Helen Oy,12,vmyuwy-helen-oy-maaraaikainen-perussahko-12-kk,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,11.3800,11.3800
Porvoon Energia Oy,12,zdmggt-porvoon-energia-oy-eko-12-kk-luonnonsuojeluliiton-sertifioima-ekoenergia,2026-07-26,2026-07-27,observed_seller_data,canonical_calculation,False,11.7000,11.7000
