panel,supplier,term,basis,horizon_days,start_dates_with_target_in_study,exact_pairs,unchanged_endpoints,changed_endpoints,complete_daily_windows,no_observed_change_complete,observed_change_complete,returned_to_start_complete,series_with_pairs,series_with_complete_windows,p_unchanged_endpoints,p_no_observed_change_complete,exact_pair_selection_rate
same_id,Cheap Energy Finland Oy,12,canonical_calculation,60,0,0,0,0,0,0,0,0,0,0,,,
same_id,Cheap Energy Finland Oy,12,canonical_calculation,90,0,0,0,0,0,0,0,0,0,0,,,
same_id,Cheap Energy Finland Oy,24,canonical_calculation,7,44,25,25,0,25,25,0,0,3,3,1.0,1.0,0.5681818181818182
same_id,Cheap Energy Finland Oy,24,canonical_calculation,14,37,14,14,0,14,14,0,0,1,1,1.0,1.0,0.3783783783783784
same_id,Cheap Energy Finland Oy,24,canonical_calculation,30,21,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,45,4,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Cheap Energy Finland Oy,24,canonical_calculation,60,0,0,0,0,0,0,0,0,0,0,,,
same_id,Cheap Energy Finland Oy,24,canonical_calculation,90,0,0,0,0,0,0,0,0,0,0,,,
same_id,Cheap Energy Finland Oy,24,observed_seller_data,7,111,57,57,0,57,57,0,0,5,5,1.0,1.0,0.5135135135135135
same_id,Cheap Energy Finland Oy,24,observed_seller_data,14,111,27,27,0,27,27,0,0,3,3,1.0,1.0,0.24324324324324326
same_id,Cheap Energy Finland Oy,24,observed_seller_data,30,111,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Cheap Energy Finland Oy,24,observed_seller_data,45,111,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Cheap Energy Finland Oy,24,observed_seller_data,60,100,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Cheap Energy Finland Oy,24,observed_seller_data,90,69,0,0,0,0,0,0,0,0,0,,,0.0
same_id,Fortum Markets Oy,24,canonical_calculation,7,42,42,42,0,42,42,0,0,1,1,1.0,1.0,1.0
same_id,Fortum Markets Oy,24,canonical_calculation,14,35,35,35,0,35,35,0,0,1,1,1.0,1.0,1.0
same_id,Fortum Markets Oy,24,canonical_calculation,30,19,19,19,0,19,19,0,0,1,1,1.0,1.0,1.0
same_id,Fortum Markets Oy,24,canonical_calculation,45,4,4,4,0,4,4,0,0,1,1,1.0,1.0,1.0
same_id,Fortum Markets Oy,24,canonical_calculation,60,0,0,0,0,0,0,0,0,0,0,,,
same_id,Fortum Markets Oy,24,canonical_calculation,90,0,0,0,0,0,0,0,0,0,0,,,
