basis,term,horizon,cohort,n,issue_days,unchanged_mae,gap_mae,momentum_mae,gap_improvement_fraction,momentum_improvement_fraction
observed_seller_data,all,45,common_14_30_45_all_models,153,51,0.9749287581699346,0.9729091503267976,1.0461738562091503,0.0020715440243327388,-0.07307723507197772
observed_seller_data,all,60,all_models,108,36,1.225400925925926,1.2099222222222223,0.8269185185185186,0.012631542359907821,0.3251853323893238
observed_seller_data,all,60,gap_available_only,117,39,1.2263529914529916,1.2127760683760684,,0.011070974810308942,
observed_seller_data,all,60,common_14_30_45_all_models,0,0,,,,,
canonical_calculation,6,14,all_models,21,21,0.3864571428571427,0.4655095238095238,0.7814190476190476,-0.20455665631623088,-1.0220069988663814
canonical_calculation,6,14,gap_available_only,35,35,0.74924,0.792537142857143,,-0.05778808239968902,
canonical_calculation,6,14,common_14_30_45_all_models,0,0,,,,,
canonical_calculation,6,30,all_models,5,5,1.24476,1.32952,1.6755600000000002,-0.06809344773289627,-0.346090812686783
canonical_calculation,6,30,gap_available_only,19,19,1.5286,1.5432894736842107,,-0.009609756433475614,
canonical_calculation,6,30,common_14_30_45_all_models,0,0,,,,,
canonical_calculation,6,45,all_models,0,0,,,,,
canonical_calculation,6,45,gap_available_only,4,4,2.6588500000000006,2.7036250000000006,,-0.01683998721251667,
canonical_calculation,6,45,common_14_30_45_all_models,0,0,,,,,
canonical_calculation,6,60,all_models,0,0,,,,,
canonical_calculation,6,60,gap_available_only,0,0,,,,,
canonical_calculation,6,60,common_14_30_45_all_models,0,0,,,,,
canonical_calculation,12,14,all_models,21,21,0.20112857142857182,0.19907619047619082,0.5057714285714289,0.010204323223714007,-1.514667234888838
canonical_calculation,12,14,gap_available_only,35,35,0.2880742857142859,0.29588285714285745,,-0.02710610358439336,
canonical_calculation,12,14,common_14_30_45_all_models,0,0,,,,,
canonical_calculation,12,30,all_models,5,5,0.48235999999999957,0.5140199999999997,1.0363600000000002,-0.0656356248445149,-1.1485197777593523
canonical_calculation,12,30,gap_available_only,19,19,0.38307368421052584,0.4349421052631577,,-0.13540063750274878,
canonical_calculation,12,30,common_14_30_45_all_models,0,0,,,,,
canonical_calculation,12,45,all_models,0,0,,,,,
canonical_calculation,12,45,gap_available_only,4,4,1.3173249999999994,1.3472499999999994,,-0.022716489856337674,
canonical_calculation,12,45,common_14_30_45_all_models,0,0,,,,,
canonical_calculation,12,60,all_models,0,0,,,,,
canonical_calculation,12,60,gap_available_only,0,0,,,,,
canonical_calculation,12,60,common_14_30_45_all_models,0,0,,,,,
canonical_calculation,24,14,all_models,21,21,0.10435714285714301,0.11784285714285682,0.16926190476190464,-0.12922655715263054,-0.6219484371435056
canonical_calculation,24,14,gap_available_only,35,35,0.10755428571428571,0.1258428571428568,,-0.17004037828073226,
canonical_calculation,24,14,common_14_30_45_all_models,0,0,,,,,
canonical_calculation,24,30,all_models,5,5,0.36999999999999994,0.37445999999999985,0.3146800000000006,-0.012054054054053909,0.14951351351351172
canonical_calculation,24,30,gap_available_only,19,19,0.19615263157894694,0.21768947368421018,,-0.10979634548820805,
canonical_calculation,24,30,common_14_30_45_all_models,0,0,,,,,
canonical_calculation,24,45,all_models,0,0,,,,,
canonical_calculation,24,45,gap_available_only,4,4,0.6291999999999995,0.6932499999999999,,-0.10179593134138654,
canonical_calculation,24,45,common_14_30_45_all_models,0,0,,,,,
canonical_calculation,24,60,all_models,0,0,,,,,
canonical_calculation,24,60,gap_available_only,0,0,,,,,
canonical_calculation,24,60,common_14_30_45_all_models,0,0,,,,,
canonical_calculation,all,14,all_models,63,21,0.23064761904761918,0.2608095238095238,0.485484126984127,-0.1307705012800391,-1.1048737853387278
canonical_calculation,all,14,gap_available_only,105,35,0.3816228571428572,0.4047542857142858,,-0.06061332055582169,
canonical_calculation,all,14,common_14_30_45_all_models,0,0,,,,,
canonical_calculation,all,30,all_models,15,5,0.6990399999999999,0.7393333333333332,1.008866666666667,-0.05764095521477075,-0.4432173647669191
canonical_calculation,all,30,gap_available_only,57,19,0.7026087719298243,0.7319736842105262,,-0.04179411566417923,
canonical_calculation,all,30,common_14_30_45_all_models,0,0,,,,,
canonical_calculation,all,45,all_models,0,0,,,,,
canonical_calculation,all,45,gap_available_only,12,4,1.5351249999999999,1.581375,,-0.030127839752463137,
canonical_calculation,all,45,common_14_30_45_all_models,0,0,,,,,
canonical_calculation,all,60,all_models,0,0,,,,,
canonical_calculation,all,60,gap_available_only,0,0,,,,,
canonical_calculation,all,60,common_14_30_45_all_models,0,0,,,,,
