id,forecast_date,target_date,horizon_days,duration_months,target_quantile,current_price_cents_per_kwh,forecast_price_cents_per_kwh,expected_change_cents_per_kwh,interval_low_cents_per_kwh,interval_high_cents_per_kwh,hedge_cost_cents_per_kwh,retail_premium_cents_per_kwh,normal_retail_premium_cents_per_kwh,fair_price_cents_per_kwh,gap_cents_per_kwh,futures_trade_date,coverage_quality,confidence,direction,consumer_signal,contract_count,model_version,source_metadata,actual_price_cents_per_kwh,actual_change_cents_per_kwh,forecast_error_cents_per_kwh,absolute_error_cents_per_kwh,actual_direction,direction_correct,evaluated_at,created_at,updated_at
525,2026-06-15,2026-07-15,30,6,p80,11.4700,11.3067,-0.1633,,,7.5577,3.9123,3.3679,10.9256,-0.5444,2026-06-12,all_monthly,low,falling,wait_if_flexible,20,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2026-12-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 68, ""monthly_futures_months"": 6, ""quarter_futures_months"": 0, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",11.7018,0.2318,-0.3951,0.3951,rising,0,2026-07-15 04:45:00,2026-06-15 04:30:10,2026-07-15 04:45:00
526,2026-06-15,2026-07-15,30,12,median,10.1000,10.0666,-0.0334,,,7.4029,2.6971,2.5859,9.9888,-0.1112,2026-06-12,mixed_with_quarter_fallback,low,slightly_falling,neutral,51,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2027-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 68, ""monthly_futures_months"": 6, ""quarter_futures_months"": 6, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",10.0800,-0.0200,-0.0134,0.0134,slightly_falling,1,2026-07-15 04:45:01,2026-06-15 04:30:10,2026-07-15 04:45:01
527,2026-06-15,2026-07-15,30,12,p20,9.4000,9.3695,-0.0305,,,7.4029,1.9971,1.8954,9.2983,-0.1017,2026-06-12,mixed_with_quarter_fallback,low,slightly_falling,neutral,51,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2027-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 68, ""monthly_futures_months"": 6, ""quarter_futures_months"": 6, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",9.4160,0.0160,-0.0465,0.0465,slightly_rising,1,2026-07-15 04:45:01,2026-06-15 04:30:10,2026-07-15 04:45:01
528,2026-06-15,2026-07-15,30,12,p80,10.4200,10.3878,-0.0322,,,7.4029,3.0171,2.9097,10.3126,-0.1074,2026-06-12,mixed_with_quarter_fallback,low,slightly_falling,neutral,51,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2027-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 68, ""monthly_futures_months"": 6, ""quarter_futures_months"": 6, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",10.4820,0.0620,-0.0942,0.0942,slightly_rising,1,2026-07-15 04:45:01,2026-06-15 04:30:10,2026-07-15 04:45:01
529,2026-06-15,2026-07-15,30,24,median,9.0500,9.0349,-0.0151,,,6.6030,2.4470,2.3968,8.9998,-0.0502,2026-06-12,mixed_with_year_fallback,low,slightly_falling,neutral,50,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2028-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 3, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 68, ""monthly_futures_months"": 6, ""quarter_futures_months"": 15, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",9.1900,0.1400,-0.1551,0.1551,slightly_rising,1,2026-07-15 04:45:01,2026-06-15 04:30:10,2026-07-15 04:45:01
530,2026-06-15,2026-07-15,30,24,p20,8.7900,8.7666,-0.0234,,,6.6030,2.1870,2.1090,8.7120,-0.0780,2026-06-12,mixed_with_year_fallback,low,slightly_falling,neutral,50,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2028-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 3, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 68, ""monthly_futures_months"": 6, ""quarter_futures_months"": 15, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",8.8625,0.0725,-0.0959,0.0959,slightly_rising,1,2026-07-15 04:45:01,2026-06-15 04:30:10,2026-07-15 04:45:01
531,2026-06-15,2026-07-15,30,24,p80,9.5040,9.4882,-0.0158,,,6.6030,2.9010,2.8482,9.4512,-0.0528,2026-06-12,mixed_with_year_fallback,low,slightly_falling,neutral,50,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2028-06-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 3, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 68, ""monthly_futures_months"": 6, ""quarter_futures_months"": 15, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",9.8900,0.3860,-0.4018,0.4018,rising,0,2026-07-15 04:45:01,2026-06-15 04:30:10,2026-07-15 04:45:01
532,2026-06-16,2026-07-16,30,6,median,10.7294,10.6203,-0.1091,,,7.4406,3.2888,2.9253,10.3658,-0.3636,2026-06-15,all_monthly,low,slightly_falling,neutral,20,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2026-12-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 69, ""monthly_futures_months"": 6, ""quarter_futures_months"": 0, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",11.2000,0.4706,-0.5797,0.5797,rising,0,2026-07-16 04:45:00,2026-06-16 04:30:12,2026-07-16 04:45:00
533,2026-06-16,2026-07-16,30,6,p20,9.4820,9.3564,-0.1256,,,7.4406,2.0414,1.6228,9.0634,-0.4186,2026-06-15,all_monthly,low,slightly_falling,neutral,20,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2026-12-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 69, ""monthly_futures_months"": 6, ""quarter_futures_months"": 0, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",10.1175,0.6355,-0.7611,0.7611,rising,0,2026-07-16 04:45:00,2026-06-16 04:30:12,2026-07-16 04:45:00
534,2026-06-16,2026-07-16,30,6,p80,11.5900,11.4142,-0.1758,,,7.4406,4.1494,3.5633,11.0039,-0.5861,2026-06-15,all_monthly,low,falling,wait_if_flexible,20,fixed_term_ewma_gap_v1,"{""area"": ""FI"", ""model"": ""ewma_retail_premium_gap_closure"", ""ewma_alpha"": 0.25, ""vat_multiplier"": 1.255, ""delivery_end_month"": ""2026-12-01"", ""gap_closure_lambda"": 0.3, ""year_futures_months"": 0, ""delivery_start_month"": ""2026-07-01"", ""history_observations"": 69, ""monthly_futures_months"": 6, ""quarter_futures_months"": 0, ""missing_delivery_months"": [], ""minimum_history_observations"": 10, ""direction_threshold_cents_per_kwh"": 0.15}",11.8520,0.2620,-0.4378,0.4378,rising,0,2026-07-16 04:45:00,2026-06-16 04:30:12,2026-07-16 04:45:00
