status,contract,kwh,v2_segment,v3_segment,pair_days,first_date,last_date,reasons
lost,35idqf-vattenfall-oy-taysvesi-24-kk,2000,fixed_term_24,fixed_term_24,1,2026-07-23,2026-07-23,"{""canonical_outcome_not_listed"": 1}"
lost,35idqf-vattenfall-oy-taysvesi-24-kk,5000,fixed_term_24,fixed_term_24,1,2026-07-23,2026-07-23,"{""canonical_outcome_not_listed"": 1}"
lost,35idqf-vattenfall-oy-taysvesi-24-kk,18000,fixed_term_24,fixed_term_24,1,2026-07-23,2026-07-23,"{""canonical_outcome_not_listed"": 1}"
lost,3bdzoe-paneliankosken-voima-oy-kosken-kayttowoima-12-kk-kulutusjousto,2000,hybrid,hybrid,5,2026-07-23,2026-07-27,"{""canonical_outcome_not_listed"": 5}"
lost,3bdzoe-paneliankosken-voima-oy-kosken-kayttowoima-12-kk-kulutusjousto,5000,hybrid,hybrid,5,2026-07-23,2026-07-27,"{""canonical_outcome_not_listed"": 5}"
lost,3bdzoe-paneliankosken-voima-oy-kosken-kayttowoima-12-kk-kulutusjousto,18000,hybrid,hybrid,5,2026-07-23,2026-07-27,"{""canonical_outcome_not_listed"": 5}"
lost,6e4ly6-kokkolan-energia-oy-tyyni,2000,open_ended,open_ended,4,2026-07-25,2026-07-28,"{""exact_date_components_unavailable"": 4}"
lost,6e4ly6-kokkolan-energia-oy-tyyni,5000,open_ended,open_ended,4,2026-07-25,2026-07-28,"{""exact_date_components_unavailable"": 4}"
lost,6e4ly6-kokkolan-energia-oy-tyyni,18000,open_ended,open_ended,4,2026-07-25,2026-07-28,"{""exact_date_components_unavailable"": 4}"
lost,6txgrh-cheap-energy-finland-oy-cheap-maaraaikainen-3-kk,2000,fixed_term_below6,fixed_term_below6,25,2026-05-09,2026-06-02,"{""canonical_outcome_not_listed"": 25}"
lost,6txgrh-cheap-energy-finland-oy-cheap-maaraaikainen-3-kk,5000,fixed_term_below6,fixed_term_below6,25,2026-05-09,2026-06-02,"{""canonical_outcome_not_listed"": 25}"
lost,6txgrh-cheap-energy-finland-oy-cheap-maaraaikainen-3-kk,18000,fixed_term_below6,fixed_term_below6,25,2026-05-09,2026-06-02,"{""canonical_outcome_not_listed"": 25}"
lost,8lw2cg-turku-energia-oy-louna-helppo-l,2000,open_ended,open_ended,1,2026-07-23,2026-07-23,"{""canonical_outcome_not_listed"": 1}"
lost,8lw2cg-turku-energia-oy-louna-helppo-l,5000,open_ended,open_ended,1,2026-07-23,2026-07-23,"{""canonical_outcome_not_listed"": 1}"
lost,8lw2cg-turku-energia-oy-louna-helppo-l,18000,open_ended,open_ended,1,2026-07-23,2026-07-23,"{""canonical_outcome_not_listed"": 1}"
lost,bdfd4u-keravan-energia-oy-perusfiksu-24kk,2000,hybrid,hybrid,1,2026-09-16,2026-09-16,"{""canonical_outcome_not_listed"": 1}"
lost,bdfd4u-keravan-energia-oy-perusfiksu-24kk,5000,hybrid,hybrid,1,2026-09-16,2026-09-16,"{""canonical_outcome_not_listed"": 1}"
lost,bdfd4u-keravan-energia-oy-perusfiksu-24kk,18000,hybrid,hybrid,1,2026-09-16,2026-09-16,"{""canonical_outcome_not_listed"": 1}"
lost,dgh71e-turku-energia-oy-louna-helppo-m,2000,open_ended,open_ended,1,2026-07-23,2026-07-23,"{""canonical_outcome_not_listed"": 1}"
lost,dgh71e-turku-energia-oy-louna-helppo-m,5000,open_ended,open_ended,1,2026-07-23,2026-07-23,"{""canonical_outcome_not_listed"": 1}"
lost,dgh71e-turku-energia-oy-louna-helppo-m,18000,open_ended,open_ended,1,2026-07-23,2026-07-23,"{""canonical_outcome_not_listed"": 1}"
lost,djobdk-vihrea-alyenergia-oy-vire-tuuli-opiskelija,2000,spot,spot,58,2026-07-25,2026-09-20,"{""exact_date_components_unavailable"": 58}"
lost,djobdk-vihrea-alyenergia-oy-vire-tuuli-opiskelija,5000,spot,spot,58,2026-07-25,2026-09-20,"{""exact_date_components_unavailable"": 58}"
lost,fddbph-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,2000,fixed_term_below6,fixed_term_below6,3,2026-01-21,2026-01-23,"{""canonical_outcome_not_listed"": 3}"
lost,fddbph-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,5000,fixed_term_below6,fixed_term_below6,3,2026-01-21,2026-01-23,"{""canonical_outcome_not_listed"": 3}"
lost,fddbph-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,18000,fixed_term_below6,fixed_term_below6,3,2026-01-21,2026-01-23,"{""canonical_outcome_not_listed"": 3}"
lost,ggkvce-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,2000,fixed_term_7_11,fixed_term_7_11,63,2026-02-03,2026-04-07,"{""canonical_outcome_not_listed"": 63}"
lost,ggkvce-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,5000,fixed_term_7_11,fixed_term_7_11,63,2026-02-03,2026-04-07,"{""canonical_outcome_not_listed"": 63}"
lost,ggkvce-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,18000,fixed_term_7_11,fixed_term_7_11,63,2026-02-03,2026-04-07,"{""canonical_outcome_not_listed"": 63}"
lost,h191sf-hehku-energia-oy-hehku-jatkuva,2000,open_ended,open_ended,28,2026-08-12,2026-09-08,"{""canonical_outcome_not_listed"": 28}"
lost,h191sf-hehku-energia-oy-hehku-jatkuva,5000,open_ended,open_ended,28,2026-08-12,2026-09-08,"{""canonical_outcome_not_listed"": 28}"
lost,h191sf-hehku-energia-oy-hehku-jatkuva,18000,open_ended,open_ended,28,2026-08-12,2026-09-08,"{""canonical_outcome_not_listed"": 28}"
lost,h8icyg-hehku-energia-oy-hehku-jatkuva,2000,open_ended,open_ended,8,2026-07-23,2026-07-30,"{""canonical_outcome_not_listed"": 8}"
lost,h8icyg-hehku-energia-oy-hehku-jatkuva,5000,open_ended,open_ended,8,2026-07-23,2026-07-30,"{""canonical_outcome_not_listed"": 8}"
lost,h8icyg-hehku-energia-oy-hehku-jatkuva,18000,open_ended,open_ended,8,2026-07-23,2026-07-30,"{""canonical_outcome_not_listed"": 8}"
lost,iq7fja-vimpelin-voima-oy-vuodenaikatariffi,2000,open_ended,open_ended,1,2026-07-24,2026-07-24,"{""canonical_outcome_not_listed"": 1}"
lost,iq7fja-vimpelin-voima-oy-vuodenaikatariffi,5000,open_ended,open_ended,1,2026-07-24,2026-07-24,"{""canonical_outcome_not_listed"": 1}"
lost,iq7fja-vimpelin-voima-oy-vuodenaikatariffi,18000,open_ended,open_ended,1,2026-07-24,2026-07-24,"{""canonical_outcome_not_listed"": 1}"
lost,kvwny9-vihrea-alyenergia-oy-vire-tuuli-porssisahko-tarjous-ensimmaiset-12-kk,2000,spot,spot,58,2026-07-25,2026-09-20,"{""exact_date_components_unavailable"": 58}"
