status,contract,kwh,segment,guard_or_reason,pair_days,first_date,last_date
lost,padux1-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,2000,fixed_term_7_11,unknown_short_fixed_term_duration,4,2026-01-30,2026-02-02
lost,padux1-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,5000,fixed_term_7_11,unknown_short_fixed_term_duration,4,2026-01-30,2026-02-02
lost,padux1-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,18000,fixed_term_7_11,unknown_short_fixed_term_duration,4,2026-01-30,2026-02-02
lost,qezbfw-vattenfall-oy-taysvesi-12-kk,2000,fixed_term_12,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,qezbfw-vattenfall-oy-taysvesi-12-kk,5000,fixed_term_12,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,qezbfw-vattenfall-oy-taysvesi-12-kk,18000,fixed_term_12,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,rfiaso-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,2000,fixed_term_7_11,unknown_short_fixed_term_duration,3,2026-01-27,2026-01-29
lost,rfiaso-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,5000,fixed_term_7_11,unknown_short_fixed_term_duration,3,2026-01-27,2026-01-29
lost,rfiaso-vihrea-alyenergia-oy-vankka-kiintea-9kk-fossiilivapaa,18000,fixed_term_7_11,unknown_short_fixed_term_duration,3,2026-01-27,2026-01-29
lost,sk027a-hehku-energia-oy-hehku-jatkuva,2000,open_ended,insufficient_promotion_terms,7,2026-08-05,2026-08-11
lost,sk027a-hehku-energia-oy-hehku-jatkuva,5000,open_ended,insufficient_promotion_terms,7,2026-08-05,2026-08-11
lost,sk027a-hehku-energia-oy-hehku-jatkuva,18000,open_ended,insufficient_promotion_terms,7,2026-08-05,2026-08-11
lost,w4k6um-keravan-energia-oy-perusfiksu-24kk,2000,hybrid,ambiguous_energy_mechanisms,3,2026-09-09,2026-09-11
lost,w4k6um-keravan-energia-oy-perusfiksu-24kk,5000,hybrid,ambiguous_energy_mechanisms,3,2026-09-09,2026-09-11
lost,w4k6um-keravan-energia-oy-perusfiksu-24kk,18000,hybrid,ambiguous_energy_mechanisms,3,2026-09-09,2026-09-11
lost,whniel-vihrea-alyenergia-oy-vankka-kiintea-3kk-fossiilivapaa,2000,fixed_term_below6,unknown_short_fixed_term_duration,26,2026-04-16,2026-05-11
lost,whniel-vihrea-alyenergia-oy-vankka-kiintea-3kk-fossiilivapaa,5000,fixed_term_below6,unknown_short_fixed_term_duration,26,2026-04-16,2026-05-11
lost,x5t18z-helen-oy-helpposahko-m,2000,open_ended,canonical_outcome_not_listed,1,2026-07-23,2026-07-23
lost,xam9ev-hehku-energia-oy-hehku-jatkuva,2000,open_ended,insufficient_promotion_terms,8,2026-09-09,2026-09-16
lost,xam9ev-hehku-energia-oy-hehku-jatkuva,5000,open_ended,insufficient_promotion_terms,8,2026-09-09,2026-09-16
lost,xam9ev-hehku-energia-oy-hehku-jatkuva,18000,open_ended,insufficient_promotion_terms,8,2026-09-09,2026-09-16
lost,ychtcj-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,2000,fixed_term_below6,unknown_short_fixed_term_duration,54,2026-02-13,2026-04-07
lost,ychtcj-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,5000,fixed_term_below6,unknown_short_fixed_term_duration,54,2026-02-13,2026-04-07
lost,ychtcj-vihrea-alyenergia-oy-vankka-kiintea-4kk-fossiilivapaa,18000,fixed_term_below6,unknown_short_fixed_term_duration,54,2026-02-13,2026-04-07
new,1maegh-helen-oy-maaraaikainen-perussahko-6-kk,2000,fixed_term_6,term_price_annualized,6,2026-01-21,2026-01-26
new,1maegh-helen-oy-maaraaikainen-perussahko-6-kk,5000,fixed_term_6,term_price_annualized,6,2026-01-21,2026-01-26
new,1maegh-helen-oy-maaraaikainen-perussahko-6-kk,18000,fixed_term_6,term_price_annualized,6,2026-01-21,2026-01-26
new,2le6zk-vaasan-sahko-myynti-oy-kiintea-6-kk-yosahko,2000,fixed_term_6,term_price_annualized,7,2026-01-29,2026-02-04
new,2le6zk-vaasan-sahko-myynti-oy-kiintea-6-kk-yosahko,5000,fixed_term_6,term_price_annualized,7,2026-01-29,2026-02-04
new,2le6zk-vaasan-sahko-myynti-oy-kiintea-6-kk-yosahko,18000,fixed_term_6,term_price_annualized,7,2026-01-29,2026-02-04
new,3gim4o-vattenfall-oy-ilmasto-mix-6-kk,2000,fixed_term_6,term_price_annualized,9,2026-02-17,2026-02-25
new,3gim4o-vattenfall-oy-ilmasto-mix-6-kk,5000,fixed_term_6,term_price_annualized,9,2026-02-17,2026-02-25
new,3gim4o-vattenfall-oy-ilmasto-mix-6-kk,18000,fixed_term_6,term_price_annualized,9,2026-02-17,2026-02-25
new,3hwag5-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmaiset-3-kuukautta,2000,fixed_term_6,term_price_annualized,2,2026-01-28,2026-01-29
new,3hwag5-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmaiset-3-kuukautta,5000,fixed_term_6,term_price_annualized,2,2026-01-28,2026-01-29
new,3hwag5-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk-0-kuukausimaksu-ensimmaiset-3-kuukautta,18000,fixed_term_6,term_price_annualized,2,2026-01-28,2026-01-29
new,4wrivc-vattenfall-oy-ilmasto-mix-6-kk,2000,fixed_term_6,term_price_annualized,6,2026-01-29,2026-02-03
new,4wrivc-vattenfall-oy-ilmasto-mix-6-kk,5000,fixed_term_6,term_price_annualized,6,2026-01-29,2026-02-03
new,4wrivc-vattenfall-oy-ilmasto-mix-6-kk,18000,fixed_term_6,term_price_annualized,6,2026-01-29,2026-02-03
new,86oyzv-vihrea-alyenergia-oy-vankka-kiintea-6kk-fossiilivapaa,2000,fixed_term_6,term_price_annualized,54,2026-02-13,2026-04-07
new,86oyzv-vihrea-alyenergia-oy-vankka-kiintea-6kk-fossiilivapaa,5000,fixed_term_6,term_price_annualized,54,2026-02-13,2026-04-07
new,86oyzv-vihrea-alyenergia-oy-vankka-kiintea-6kk-fossiilivapaa,18000,fixed_term_6,term_price_annualized,54,2026-02-13,2026-04-07
new,8yykgr-vattenfall-oy-ilmasto-mix-6-kk,2000,fixed_term_6,term_price_annualized,8,2026-07-01,2026-07-08
new,8yykgr-vattenfall-oy-ilmasto-mix-6-kk,5000,fixed_term_6,term_price_annualized,8,2026-07-01,2026-07-08
new,8yykgr-vattenfall-oy-ilmasto-mix-6-kk,18000,fixed_term_6,term_price_annualized,8,2026-07-01,2026-07-08
new,bdjjig-vattenfall-oy-ilmasto-mix-6-kk,2000,fixed_term_6,term_price_annualized,19,2026-04-03,2026-04-21
new,bdjjig-vattenfall-oy-ilmasto-mix-6-kk,5000,fixed_term_6,term_price_annualized,19,2026-04-03,2026-04-21
new,bdjjig-vattenfall-oy-ilmasto-mix-6-kk,18000,fixed_term_6,term_price_annualized,19,2026-04-03,2026-04-21
new,bkilfp-hehku-energia-oy-hehku-kiintea-6-kk,2000,fixed_term_6,term_price_annualized,46,2026-03-20,2026-05-04
new,bkilfp-hehku-energia-oy-hehku-kiintea-6-kk,5000,fixed_term_6,term_price_annualized,46,2026-03-20,2026-05-04
new,bkilfp-hehku-energia-oy-hehku-kiintea-6-kk,18000,fixed_term_6,term_price_annualized,46,2026-03-20,2026-05-04
new,cshvfd-vare-oy-maaraaikainen-sahko-6-kk,2000,fixed_term_6,term_price_annualized,7,2026-03-04,2026-03-10
new,cshvfd-vare-oy-maaraaikainen-sahko-6-kk,5000,fixed_term_6,term_price_annualized,7,2026-03-04,2026-03-10
new,cshvfd-vare-oy-maaraaikainen-sahko-6-kk,18000,fixed_term_6,term_price_annualized,7,2026-03-04,2026-03-10
new,du2njn-vare-oy-maaraaikainen-sahko-6-kk,2000,fixed_term_6,term_price_annualized,5,2026-02-11,2026-02-16
new,du2njn-vare-oy-maaraaikainen-sahko-6-kk,5000,fixed_term_6,term_price_annualized,5,2026-02-11,2026-02-16
new,du2njn-vare-oy-maaraaikainen-sahko-6-kk,18000,fixed_term_6,term_price_annualized,5,2026-02-11,2026-02-16
new,gkxozf-imatran-seudun-sahko-oy-voima-6-kk,2000,fixed_term_6,term_price_annualized,10,2026-03-03,2026-03-12
new,gkxozf-imatran-seudun-sahko-oy-voima-6-kk,5000,fixed_term_6,term_price_annualized,10,2026-03-03,2026-03-12
new,gkxozf-imatran-seudun-sahko-oy-voima-6-kk,18000,fixed_term_6,term_price_annualized,10,2026-03-03,2026-03-12
new,griooo-vare-oy-maaraaikainen-sahko-6-kk,2000,fixed_term_6,term_price_annualized,7,2026-03-18,2026-03-24
new,griooo-vare-oy-maaraaikainen-sahko-6-kk,5000,fixed_term_6,term_price_annualized,7,2026-03-18,2026-03-24
new,griooo-vare-oy-maaraaikainen-sahko-6-kk,18000,fixed_term_6,term_price_annualized,7,2026-03-18,2026-03-24
new,gtuij0-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,2000,fixed_term_6,term_price_annualized,30,2026-05-11,2026-06-09
new,gtuij0-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,5000,fixed_term_6,term_price_annualized,30,2026-05-11,2026-06-09
new,gtuij0-cheap-energy-finland-oy-cheap-maaraaikainen-6-kk,18000,fixed_term_6,term_price_annualized,30,2026-05-11,2026-06-09
new,hadaei-pohjois-karjalan-sahko-oy-optimi-takuu-6-kuukautta,2000,fixed_term_6,term_price_annualized,32,2026-02-17,2026-03-20
new,hadaei-pohjois-karjalan-sahko-oy-optimi-takuu-6-kuukautta,5000,fixed_term_6,term_price_annualized,32,2026-02-17,2026-03-20
new,hadaei-pohjois-karjalan-sahko-oy-optimi-takuu-6-kuukautta,18000,fixed_term_6,term_price_annualized,32,2026-02-17,2026-03-20
new,hwdaii-vihrea-alyenergia-oy-vankka-kiintea-6kk-fossiilivapaa,2000,fixed_term_6,term_price_annualized,3,2026-01-24,2026-01-26
new,hwdaii-vihrea-alyenergia-oy-vankka-kiintea-6kk-fossiilivapaa,5000,fixed_term_6,term_price_annualized,3,2026-01-24,2026-01-26
new,hwdaii-vihrea-alyenergia-oy-vankka-kiintea-6kk-fossiilivapaa,18000,fixed_term_6,term_price_annualized,3,2026-01-24,2026-01-26
new,hxygsl-oomi-oy-oomi-kiintea-6-kk,2000,fixed_term_6,term_price_annualized,18,2026-04-17,2026-05-04
new,hxygsl-oomi-oy-oomi-kiintea-6-kk,5000,fixed_term_6,term_price_annualized,18,2026-04-17,2026-05-04
new,hxygsl-oomi-oy-oomi-kiintea-6-kk,18000,fixed_term_6,term_price_annualized,18,2026-04-17,2026-05-04
new,im7tc9-oomi-oy-oomi-kiintea-6-kk,2000,fixed_term_6,term_price_annualized,11,2026-06-15,2026-06-25
new,im7tc9-oomi-oy-oomi-kiintea-6-kk,5000,fixed_term_6,term_price_annualized,11,2026-06-15,2026-06-25
new,im7tc9-oomi-oy-oomi-kiintea-6-kk,18000,fixed_term_6,term_price_annualized,11,2026-06-15,2026-06-25
new,kzxar1-vare-oy-maaraaikainen-sahko-6-kk,2000,fixed_term_6,term_price_annualized,6,2026-04-09,2026-04-14
new,kzxar1-vare-oy-maaraaikainen-sahko-6-kk,5000,fixed_term_6,term_price_annualized,6,2026-04-09,2026-04-14
new,kzxar1-vare-oy-maaraaikainen-sahko-6-kk,18000,fixed_term_6,term_price_annualized,6,2026-04-09,2026-04-14
new,l2ff7m-sahkotytot-oy-kiintea-6kk-ensimmaiset-3kk-ilman-perusmaksua,2000,fixed_term_6,term_price_annualized,3,2026-01-28,2026-01-30
new,l2ff7m-sahkotytot-oy-kiintea-6kk-ensimmaiset-3kk-ilman-perusmaksua,5000,fixed_term_6,term_price_annualized,3,2026-01-28,2026-01-30
new,l2ff7m-sahkotytot-oy-kiintea-6kk-ensimmaiset-3kk-ilman-perusmaksua,18000,fixed_term_6,term_price_annualized,3,2026-01-28,2026-01-30
new,lakfhn-sahkotytot-oy-kiintea-6kk-ensimmainen-1kk-ilman-perusmaksua,2000,fixed_term_6,term_price_annualized,57,2026-03-24,2026-05-19
new,lakfhn-sahkotytot-oy-kiintea-6kk-ensimmainen-1kk-ilman-perusmaksua,5000,fixed_term_6,term_price_annualized,57,2026-03-24,2026-05-19
new,lakfhn-sahkotytot-oy-kiintea-6kk-ensimmainen-1kk-ilman-perusmaksua,18000,fixed_term_6,term_price_annualized,57,2026-03-24,2026-05-19
new,lecan2-hehku-energia-oy-hehku-kiintea-6-kk,2000,fixed_term_6,term_price_annualized,2,2026-07-21,2026-07-22
new,lecan2-hehku-energia-oy-hehku-kiintea-6-kk,5000,fixed_term_6,term_price_annualized,2,2026-07-21,2026-07-22
new,lecan2-hehku-energia-oy-hehku-kiintea-6-kk,18000,fixed_term_6,term_price_annualized,2,2026-07-21,2026-07-22
new,mftk9v-vaasan-sahko-myynti-oy-kiintea-6-kk-yosahko,2000,fixed_term_6,term_price_annualized,28,2026-03-19,2026-04-15
new,mftk9v-vaasan-sahko-myynti-oy-kiintea-6-kk-yosahko,5000,fixed_term_6,term_price_annualized,28,2026-03-19,2026-04-15
