date,segment,consumption,count,median_eur,dominant,methods
2026-07-22,hybrid,18000,38,1678.4199999999998,hybrid_base_only,"{""hybrid_base_only"":33,""none"":2,""recurring_forward_curve_shift"":3}"
2026-07-22,open_ended,2000,63,288.18139301075263,supplier_adjusted_forward_premium,"{""forward_curve_spot"":1,""none"":11,""recurring_forward_curve_shift"":13,""supplier_adjusted_forward_curve_shift"":13,""supplier_adjusted_forward_premium"":25}"
2026-07-22,open_ended,5000,61,633.7023753360215,supplier_adjusted_forward_premium,"{""forward_curve_spot"":1,""none"":8,""recurring_forward_curve_shift"":15,""supplier_adjusted_forward_curve_shift"":12,""supplier_adjusted_forward_premium"":25}"
2026-07-22,open_ended,18000,61,2136.811777016129,supplier_adjusted_forward_premium,"{""forward_curve_spot"":1,""none"":8,""recurring_forward_curve_shift"":15,""supplier_adjusted_forward_curve_shift"":12,""supplier_adjusted_forward_premium"":25}"
2026-07-22,quarterly,2000,13,268.008167204301,recurring_forward_curve_shift,"{""recurring_forward_curve_shift"":13}"
2026-07-22,quarterly,5000,13,581.8204180107526,recurring_forward_curve_shift,"{""recurring_forward_curve_shift"":13}"
2026-07-22,quarterly,18000,13,1941.6735048387093,recurring_forward_curve_shift,"{""recurring_forward_curve_shift"":13}"
2026-07-22,spot,2000,59,243.4367983807637,forward_curve_spot,"{""forward_curve_spot"":59}"
2026-07-22,spot,5000,59,532.2319959519093,forward_curve_spot,"{""forward_curve_spot"":59}"
2026-07-22,spot,18000,57,1787.7311854268737,forward_curve_spot,"{""forward_curve_spot"":57}"
2026-07-23,fixed_term_12,2000,50,264.8,none,"{""none"":50}"
2026-07-23,fixed_term_12,5000,50,582.0899999999999,none,"{""none"":50}"
2026-07-23,fixed_term_12,18000,48,1948.2849999999994,none,"{""none"":48}"
2026-07-23,fixed_term_13_23,2000,2,259.48999999999995,none,"{""none"":2}"
2026-07-23,fixed_term_13_23,5000,2,554.99,none,"{""none"":2}"
2026-07-23,fixed_term_13_23,18000,2,1835.49,none,"{""none"":2}"
2026-07-23,fixed_term_24,2000,49,246.67999999999998,none,"{""none"":49}"
2026-07-23,fixed_term_24,5000,49,531.8,none,"{""none"":49}"
2026-07-23,fixed_term_24,18000,47,1761.8000000000006,none,"{""none"":47}"
2026-07-23,fixed_term_6,2000,20,287.61677419354834,term_price_annualized,"{""hybrid_base_only"":1,""none"":1,""term_price_annualized"":18}"
2026-07-23,fixed_term_6,5000,20,638.576935483871,term_price_annualized,"{""hybrid_base_only"":1,""none"":1,""term_price_annualized"":18}"
2026-07-23,fixed_term_6,18000,20,2172.3609677419354,term_price_annualized,"{""hybrid_base_only"":1,""none"":1,""term_price_annualized"":18}"
2026-07-23,fixed_term_other,2000,1,250.19999999999996,none,"{""none"":1}"
2026-07-23,fixed_term_other,5000,1,561.6,none,"{""none"":1}"
2026-07-23,fixed_term_other,18000,1,1911.0000000000002,none,"{""none"":1}"
2026-07-23,fixed_term_over24,2000,1,228.64999999999995,none,"{""none"":1}"
2026-07-23,fixed_term_over24,5000,1,498.05000000000007,none,"{""none"":1}"
2026-07-23,fixed_term_over24,18000,1,1665.4499999999998,none,"{""none"":1}"
2026-07-23,hybrid,2000,44,238.9234782930107,hybrid_base_only,"{""hybrid_base_only"":35,""none"":7,""recurring_forward_curve_shift"":2}"
2026-07-23,hybrid,5000,40,511.70869573252685,hybrid_base_only,"{""hybrid_base_only"":31,""none"":7,""recurring_forward_curve_shift"":2}"
2026-07-23,hybrid,18000,40,1703.3113046370966,hybrid_base_only,"{""hybrid_base_only"":31,""none"":7,""recurring_forward_curve_shift"":2}"
2026-07-23,open_ended,2000,57,296.97839926075267,supplier_adjusted_forward_premium,"{""forward_curve_spot"":1,""none"":11,""recurring_forward_curve_shift"":9,""supplier_adjusted_forward_curve_shift"":14,""supplier_adjusted_forward_premium"":22}"
2026-07-23,open_ended,5000,57,661.4459981518819,supplier_adjusted_forward_premium,"{""forward_curve_spot"":1,""none"":9,""recurring_forward_curve_shift"":11,""supplier_adjusted_forward_curve_shift"":14,""supplier_adjusted_forward_premium"":22}"
2026-07-23,open_ended,18000,57,2248.542690120968,supplier_adjusted_forward_premium,"{""forward_curve_spot"":1,""none"":9,""recurring_forward_curve_shift"":11,""supplier_adjusted_forward_curve_shift"":14,""supplier_adjusted_forward_premium"":22}"
