status,v2_segment,v3_segment,kwh,v2_method,v3_method,v2_basis,v3_basis,reason,pair_days,unique_contracts,date_count,first_date,last_date,min_delta,max_delta
changed,open_ended,open_ended,2000,recurring_forward_curve_shift,recurring_spot_seasonal_index,canonical_outcome,canonical_outcome,,300,16,22,2026-04-09,2026-04-30,1.1407867942926941,129.62862739447945
changed,open_ended,open_ended,2000,supplier_adjusted_forward_curve_shift,supplier_adjusted_forward_curve_shift,canonical_outcome,canonical_outcome,,48,8,9,2026-09-12,2026-09-20,-115.48472083333343,81.54007777777775
changed,open_ended,open_ended,2000,supplier_adjusted_forward_curve_shift,supplier_adjusted_forward_premium,canonical_outcome,canonical_outcome,,4,1,4,2026-09-17,2026-09-20,-19.72975805555552,-19.560123333333422
changed,open_ended,open_ended,2000,supplier_adjusted_forward_premium,supplier_adjusted_forward_curve_shift,canonical_outcome,canonical_outcome,,8,2,4,2026-09-17,2026-09-20,9.036608333333277,112.27267777777769
changed,open_ended,open_ended,2000,supplier_adjusted_forward_premium,supplier_adjusted_forward_premium,canonical_outcome,canonical_outcome,,68,17,4,2026-09-17,2026-09-20,-38.571698611111174,34.334429166666666
changed,open_ended,open_ended,2000,supplier_adjusted_spot_seasonal_index,none,canonical_outcome,observed_relational_components,,3,3,1,2026-09-14,2026-09-14,67.43626666666674,73.29270000000008
changed,open_ended,open_ended,2000,supplier_adjusted_spot_seasonal_index,supplier_adjusted_forward_curve_shift,canonical_outcome,canonical_outcome,,12,3,4,2026-09-12,2026-09-16,83.7152833333333,208.3098966666667
changed,open_ended,open_ended,2000,supplier_adjusted_spot_seasonal_index,supplier_adjusted_forward_premium,canonical_outcome,canonical_outcome,,85,17,5,2026-09-12,2026-09-16,-108.27232472222221,192.17856541666663
changed,open_ended,open_ended,5000,hold_current_supplier_price,supplier_adjusted_forward_curve_shift,canonical_outcome,canonical_outcome,,1580,28,142,2026-04-23,2026-09-11,-56.52206250000006,347.3299652777778
changed,open_ended,open_ended,5000,hold_current_supplier_price,supplier_adjusted_forward_premium,canonical_outcome,canonical_outcome,,3265,31,141,2026-04-23,2026-09-11,-816.2067722222223,339.89444270833326
changed,open_ended,open_ended,5000,hold_current_supplier_price,supplier_adjusted_spot_seasonal_index,canonical_outcome,canonical_outcome,,3522,55,99,2026-01-21,2026-04-30,-561.5904575533599,78.00373692476927
changed,open_ended,open_ended,5000,none,none,canonical_outcome,canonical_outcome,,16,4,4,2026-07-24,2026-07-27,-697.2,-149.39999999999986
changed,open_ended,open_ended,5000,none,none,observed_relational_components,canonical_outcome,,4,4,1,2026-07-23,2026-07-23,0.0,2.2737367544323206e-13
changed,open_ended,open_ended,5000,none,recurring_forward_curve_shift,observed_relational_components,canonical_outcome,,9,9,1,2026-07-23,2026-07-23,124.11739146505363,237.0288474462368
changed,open_ended,open_ended,5000,none,supplier_adjusted_forward_curve_shift,canonical_outcome,canonical_outcome,,76,3,76,2026-05-08,2026-07-22,10.185370833333366,267.1304610215054
changed,open_ended,open_ended,5000,none,supplier_adjusted_forward_curve_shift,observed_relational_components,canonical_outcome,,13,13,1,2026-07-23,2026-07-23,104.58434543010765,305.05743817204325
changed,open_ended,open_ended,5000,none,supplier_adjusted_forward_premium,canonical_outcome,canonical_outcome,,163,3,147,2026-04-23,2026-09-16,-255.80629583333325,234.1375902777777
changed,open_ended,open_ended,5000,none,supplier_adjusted_forward_premium,observed_relational_components,canonical_outcome,,20,20,1,2026-07-23,2026-07-23,-685.8613279569894,132.4459981518819
changed,open_ended,open_ended,5000,none,supplier_adjusted_spot_seasonal_index,canonical_outcome,canonical_outcome,,122,4,88,2026-01-21,2026-04-22,-238.0311567896482,-28.765093061369726
changed,open_ended,open_ended,5000,recurring_forward_curve_shift,none,canonical_outcome,observed_relational_components,,3,2,3,2026-07-23,2026-08-01,-269.58009999999996,-214.36450000000008
changed,open_ended,open_ended,5000,recurring_forward_curve_shift,recurring_forward_curve_shift,canonical_outcome,canonical_outcome,,1,1,1,2026-07-23,2026-07-23,-5.949952553763296,-5.949952553763296
changed,open_ended,open_ended,5000,recurring_forward_curve_shift,recurring_spot_seasonal_index,canonical_outcome,canonical_outcome,,344,18,22,2026-04-09,2026-04-30,2.8520169857318933,324.07166848619863
changed,open_ended,open_ended,5000,supplier_adjusted_forward_curve_shift,supplier_adjusted_forward_curve_shift,canonical_outcome,canonical_outcome,,44,7,9,2026-09-12,2026-09-20,-288.7117520833334,203.85019444444447
changed,open_ended,open_ended,5000,supplier_adjusted_forward_curve_shift,supplier_adjusted_forward_premium,canonical_outcome,canonical_outcome,,4,1,4,2026-09-17,2026-09-20,-49.324345138888816,-48.9004083333333
changed,open_ended,open_ended,5000,supplier_adjusted_forward_premium,supplier_adjusted_forward_curve_shift,canonical_outcome,canonical_outcome,,8,2,4,2026-09-17,2026-09-20,22.59142083333313,280.68179444444434
changed,open_ended,open_ended,5000,supplier_adjusted_forward_premium,supplier_adjusted_forward_premium,canonical_outcome,canonical_outcome,,68,17,4,2026-09-17,2026-09-20,-96.42919652777778,85.83610347222213
changed,open_ended,open_ended,5000,supplier_adjusted_spot_seasonal_index,none,canonical_outcome,observed_relational_components,,3,3,1,2026-09-14,2026-09-14,168.59066666666683,183.2317999999999
changed,open_ended,open_ended,5000,supplier_adjusted_spot_seasonal_index,supplier_adjusted_forward_curve_shift,canonical_outcome,canonical_outcome,,12,3,4,2026-09-12,2026-09-16,209.2880583333332,520.7748416666665
changed,open_ended,open_ended,5000,supplier_adjusted_spot_seasonal_index,supplier_adjusted_forward_premium,canonical_outcome,canonical_outcome,,85,17,5,2026-09-12,2026-09-16,-270.68066180555536,480.4464635416668
changed,quarterly,quarterly,18000,none,recurring_forward_curve_shift,observed_relational_components,canonical_outcome,,6,6,1,2026-07-23,2026-07-23,446.8226092741929,446.8226092741934
changed,quarterly,quarterly,18000,recurring_forward_curve_shift,none,canonical_outcome,observed_relational_components,,181,9,52,2026-07-24,2026-09-20,-866.0188000000003,572.9068999999995
changed,quarterly,quarterly,18000,recurring_forward_curve_shift,recurring_spot_seasonal_index,canonical_outcome,canonical_outcome,,330,15,22,2026-04-09,2026-04-30,289.5954104301811,1016.7532742358953
changed,quarterly,quarterly,2000,none,recurring_forward_curve_shift,observed_relational_components,canonical_outcome,,6,6,1,2026-07-23,2026-07-23,49.646956586021446,49.6469565860215
changed,quarterly,quarterly,2000,recurring_forward_curve_shift,none,canonical_outcome,observed_relational_components,,181,9,52,2026-07-24,2026-09-20,-96.22430000000008,63.656300000000044
changed,quarterly,quarterly,2000,recurring_forward_curve_shift,recurring_spot_seasonal_index,canonical_outcome,canonical_outcome,,330,15,22,2026-04-09,2026-04-30,32.17725671446459,112.97255269287706
changed,quarterly,quarterly,5000,none,recurring_forward_curve_shift,observed_relational_components,canonical_outcome,,6,6,1,2026-07-23,2026-07-23,124.11739146505369,124.11739146505386
changed,quarterly,quarterly,5000,recurring_forward_curve_shift,none,canonical_outcome,observed_relational_components,,181,9,52,2026-07-24,2026-09-20,-240.56079999999986,159.1408
changed,quarterly,quarterly,5000,recurring_forward_curve_shift,recurring_spot_seasonal_index,canonical_outcome,canonical_outcome,,330,15,22,2026-04-09,2026-04-30,80.44319178616149,282.4314817321932
changed,spot,spot,18000,forward_curve_spot,forward_curve_spot,canonical_outcome,canonical_outcome,,8,2,4,2026-07-24,2026-07-27,27.177114936333737,77.95109408857456
changed,spot,spot,18000,forward_curve_spot,forward_curve_spot,canonical_outcome,observed_relational_components,,9,4,5,2026-07-23,2026-07-27,-3.6885167251778057,-0.6985167251768871
changed,spot,spot,18000,forward_curve_spot,forward_curve_spot,observed_relational_components,canonical_outcome,,49,49,1,2026-07-23,2026-07-23,3.463724097423892,81.70576004470854
changed,spot,spot,2000,forward_curve_spot,forward_curve_spot,canonical_outcome,canonical_outcome,,10,3,5,2026-07-23,2026-07-27,1.3387446703453634,27.421903813343874
changed,spot,spot,2000,forward_curve_spot,forward_curve_spot,canonical_outcome,observed_relational_components,,11,6,5,2026-07-23,2026-07-27,-0.4097907472420559,2.5802092527580953
changed,spot,spot,2000,forward_curve_spot,forward_curve_spot,observed_relational_components,canonical_outcome,,48,48,1,2026-07-23,2026-07-23,0.38483601082486985,9.07840667163424
changed,spot,spot,5000,forward_curve_spot,forward_curve_spot,canonical_outcome,canonical_outcome,,8,2,4,2026-07-24,2026-07-27,21.598641882945003,27.421909533359724
changed,spot,spot,5000,forward_curve_spot,forward_curve_spot,canonical_outcome,observed_relational_components,,11,6,5,2026-07-23,2026-07-27,-1.0246268681048036,1.9653731318951486
changed,spot,spot,5000,forward_curve_spot,forward_curve_spot,observed_relational_components,canonical_outcome,,49,49,1,2026-07-23,2026-07-23,0.9621400270623326,22.696066679085675
lost,fixed_term_24,fixed_term_24,18000,none,none,observed_relational_components,canonical_outcome,canonical_outcome_not_listed,1,1,1,2026-07-23,2026-07-23,,
lost,fixed_term_24,fixed_term_24,2000,none,none,observed_relational_components,canonical_outcome,canonical_outcome_not_listed,1,1,1,2026-07-23,2026-07-23,,
lost,fixed_term_24,fixed_term_24,5000,none,none,observed_relational_components,canonical_outcome,canonical_outcome_not_listed,1,1,1,2026-07-23,2026-07-23,,
lost,fixed_term_7_11,fixed_term_7_11,18000,hold_last_known_price,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,57,2,57,2026-01-27,2026-04-07,,
lost,fixed_term_7_11,fixed_term_7_11,18000,none,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,20,3,20,2026-01-21,2026-02-11,,
lost,fixed_term_7_11,fixed_term_7_11,2000,hold_last_known_price,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,57,2,57,2026-01-27,2026-04-07,,
lost,fixed_term_7_11,fixed_term_7_11,2000,none,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,20,3,20,2026-01-21,2026-02-11,,
lost,fixed_term_7_11,fixed_term_7_11,5000,hold_last_known_price,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,57,2,57,2026-01-27,2026-04-07,,
lost,fixed_term_7_11,fixed_term_7_11,5000,none,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,20,3,20,2026-01-21,2026-02-11,,
lost,fixed_term_below6,fixed_term_below6,18000,hold_last_known_price,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,4,1,4,2026-01-30,2026-02-02,,
lost,fixed_term_below6,fixed_term_below6,18000,none,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,123,6,123,2026-01-21,2026-07-14,,
lost,fixed_term_below6,fixed_term_below6,2000,hold_last_known_price,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,30,2,30,2026-01-30,2026-05-11,,
lost,fixed_term_below6,fixed_term_below6,2000,none,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,123,6,123,2026-01-21,2026-07-14,,
lost,fixed_term_below6,fixed_term_below6,5000,hold_last_known_price,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,30,2,30,2026-01-30,2026-05-11,,
lost,fixed_term_below6,fixed_term_below6,5000,none,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,123,6,123,2026-01-21,2026-07-14,,
lost,hybrid,hybrid,18000,forward_curve_spot,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,4,2,4,2026-09-09,2026-09-16,,
lost,hybrid,hybrid,18000,hybrid_base_only,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,4,1,4,2026-07-24,2026-07-27,,
lost,hybrid,hybrid,18000,none,none,observed_relational_components,canonical_outcome,canonical_outcome_not_listed,1,1,1,2026-07-23,2026-07-23,,
lost,hybrid,hybrid,2000,forward_curve_spot,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,4,2,4,2026-09-09,2026-09-16,,
lost,hybrid,hybrid,2000,hybrid_base_only,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,4,1,4,2026-07-24,2026-07-27,,
lost,hybrid,hybrid,2000,none,none,observed_relational_components,canonical_outcome,canonical_outcome_not_listed,1,1,1,2026-07-23,2026-07-23,,
lost,hybrid,hybrid,5000,forward_curve_spot,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,4,2,4,2026-09-09,2026-09-16,,
lost,hybrid,hybrid,5000,hybrid_base_only,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,4,1,4,2026-07-24,2026-07-27,,
lost,hybrid,hybrid,5000,none,none,observed_relational_components,canonical_outcome,canonical_outcome_not_listed,1,1,1,2026-07-23,2026-07-23,,
lost,market_reset,market_reset,18000,recurring_forward_curve_shift,,canonical_outcome,observed_relational_components,exact_date_components_unavailable,2,1,2,2026-08-02,2026-08-03,,
lost,market_reset,market_reset,2000,recurring_forward_curve_shift,,canonical_outcome,observed_relational_components,exact_date_components_unavailable,2,1,2,2026-08-02,2026-08-03,,
lost,market_reset,market_reset,5000,recurring_forward_curve_shift,,canonical_outcome,observed_relational_components,exact_date_components_unavailable,2,1,2,2026-08-02,2026-08-03,,
lost,open_ended,open_ended,18000,hold_last_known_price,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,1,1,1,2026-07-24,2026-07-24,,
lost,open_ended,open_ended,18000,none,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,50,4,50,2026-07-24,2026-09-16,,
lost,open_ended,open_ended,18000,none,none,observed_relational_components,canonical_outcome,canonical_outcome_not_listed,5,5,1,2026-07-23,2026-07-23,,
lost,open_ended,open_ended,18000,recurring_forward_curve_shift,,canonical_outcome,observed_relational_components,exact_date_components_unavailable,4,1,4,2026-07-25,2026-07-28,,
lost,open_ended,open_ended,2000,hold_last_known_price,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,1,1,1,2026-07-24,2026-07-24,,
lost,open_ended,open_ended,2000,none,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,50,4,50,2026-07-24,2026-09-16,,
lost,open_ended,open_ended,2000,none,none,observed_relational_components,canonical_outcome,canonical_outcome_not_listed,6,6,1,2026-07-23,2026-07-23,,
lost,open_ended,open_ended,2000,recurring_forward_curve_shift,,canonical_outcome,observed_relational_components,exact_date_components_unavailable,4,1,4,2026-07-25,2026-07-28,,
lost,open_ended,open_ended,5000,hold_last_known_price,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,1,1,1,2026-07-24,2026-07-24,,
lost,open_ended,open_ended,5000,none,none,canonical_outcome,canonical_outcome,canonical_outcome_not_listed,50,4,50,2026-07-24,2026-09-16,,
lost,open_ended,open_ended,5000,none,none,observed_relational_components,canonical_outcome,canonical_outcome_not_listed,5,5,1,2026-07-23,2026-07-23,,
lost,open_ended,open_ended,5000,recurring_forward_curve_shift,,canonical_outcome,observed_relational_components,exact_date_components_unavailable,4,1,4,2026-07-25,2026-07-28,,
