cohort,model,term,threshold,n,issue_days,first_issue,last_issue,correct,correct_rate,missed_move,missed_move_rate,false_move,false_move_rate,wrong_way,wrong_way_rate,actual_down,down__down,down__flat,down__up,down_recall_numerator,down_recall_denominator,down_recall,down_precision_numerator,down_precision_denominator,down_precision,actual_flat,flat__down,flat__flat,flat__up,flat_recall_numerator,flat_recall_denominator,flat_recall,flat_precision_numerator,flat_precision_denominator,flat_precision,actual_up,up__down,up__flat,up__up,up_recall_numerator,up_recall_denominator,up_recall,up_precision_numerator,up_precision_denominator,up_precision,balanced_accuracy
older57,always_down,6,0.15,19,19,2026-06-08,2026-06-26,0,0.0,0,0.0,0,0.0,19,1.0,0,0,0,0,0,0,,0,19,0.0,0,0,0,0,0,0,,0,0,,19,19,0,0,0,19,0.0,0,0,,
older57,always_down,6,0.10,19,19,2026-06-08,2026-06-26,0,0.0,0,0.0,0,0.0,19,1.0,0,0,0,0,0,0,,0,19,0.0,0,0,0,0,0,0,,0,0,,19,19,0,0,0,19,0.0,0,0,,
older57,always_down,6,0.05,19,19,2026-06-08,2026-06-26,0,0.0,0,0.0,0,0.0,19,1.0,0,0,0,0,0,0,,0,19,0.0,0,0,0,0,0,0,,0,0,,19,19,0,0,0,19,0.0,0,0,,
older57,always_down,all,0.15,57,19,2026-06-08,2026-06-26,2,0.03508771929824561,0,0.0,16,0.2807017543859649,39,0.6842105263157895,2,2,0,0,2,2,1.0,2,57,0.03508771929824561,16,16,0,0,0,16,0.0,0,0,,39,39,0,0,0,39,0.0,0,0,,0.3333333333333333
older57,always_down,all,0.10,57,19,2026-06-08,2026-06-26,2,0.03508771929824561,0,0.0,16,0.2807017543859649,39,0.6842105263157895,2,2,0,0,2,2,1.0,2,57,0.03508771929824561,16,16,0,0,0,16,0.0,0,0,,39,39,0,0,0,39,0.0,0,0,,0.3333333333333333
older57,always_down,all,0.05,57,19,2026-06-08,2026-06-26,2,0.03508771929824561,0,0.0,16,0.2807017543859649,39,0.6842105263157895,2,2,0,0,2,2,1.0,2,57,0.03508771929824561,16,16,0,0,0,16,0.0,0,0,,39,39,0,0,0,39,0.0,0,0,,0.3333333333333333
older57,always_up,12,0.15,19,19,2026-06-08,2026-06-26,9,0.47368421052631576,0,0.0,8,0.42105263157894735,2,0.10526315789473684,2,0,0,2,0,2,0.0,0,0,,8,0,0,8,0,8,0.0,0,0,,9,0,0,9,9,9,1.0,9,19,0.47368421052631576,0.3333333333333333
older57,always_up,12,0.10,19,19,2026-06-08,2026-06-26,9,0.47368421052631576,0,0.0,8,0.42105263157894735,2,0.10526315789473684,2,0,0,2,0,2,0.0,0,0,,8,0,0,8,0,8,0.0,0,0,,9,0,0,9,9,9,1.0,9,19,0.47368421052631576,0.3333333333333333
older57,always_up,12,0.05,19,19,2026-06-08,2026-06-26,9,0.47368421052631576,0,0.0,8,0.42105263157894735,2,0.10526315789473684,2,0,0,2,0,2,0.0,0,0,,8,0,0,8,0,8,0.0,0,0,,9,0,0,9,9,9,1.0,9,19,0.47368421052631576,0.3333333333333333
older57,always_up,24,0.15,19,19,2026-06-08,2026-06-26,11,0.5789473684210527,0,0.0,8,0.42105263157894735,0,0.0,0,0,0,0,0,0,,0,0,,8,0,0,8,0,8,0.0,0,0,,11,0,0,11,11,11,1.0,11,19,0.5789473684210527,
older57,always_up,24,0.10,19,19,2026-06-08,2026-06-26,11,0.5789473684210527,0,0.0,8,0.42105263157894735,0,0.0,0,0,0,0,0,0,,0,0,,8,0,0,8,0,8,0.0,0,0,,11,0,0,11,11,11,1.0,11,19,0.5789473684210527,
older57,always_up,24,0.05,19,19,2026-06-08,2026-06-26,11,0.5789473684210527,0,0.0,8,0.42105263157894735,0,0.0,0,0,0,0,0,0,,0,0,,8,0,0,8,0,8,0.0,0,0,,11,0,0,11,11,11,1.0,11,19,0.5789473684210527,
older57,always_up,6,0.15,19,19,2026-06-08,2026-06-26,19,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,,19,0,0,19,19,19,1.0,19,19,1.0,
older57,always_up,6,0.10,19,19,2026-06-08,2026-06-26,19,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,,19,0,0,19,19,19,1.0,19,19,1.0,
