company,term,issue_date,target_date,current,actual,market_current,hedge,trade_date,supplier_history_n,supplier_history_observed,supplier_history_canonical,supplier_history_unique_levels,supplier_history_median_changes,supplier_history_curve_failures,supplier_history_missing_dates,supplier_history_last_date,market_history_n,market_history_observed,market_history_canonical,market_history_unique_levels,market_history_median_changes,market_history_curve_failures,market_history_missing_dates,market_history_last_date,reasons,supplier_premium,market_premium,supplier_forecast,unchanged_forecast,pooled_forecast,supplier_ae,unchanged_ae,pooled_ae
Vattenfall Oy,24,2026-07-27,2026-08-26,9.88,9.98,9.59,7.456499233926127,2026-07-24,109,109,0,9,8,1,0,2026-07-26,109,109,0,30,42,1,0,2026-07-26,,2.299858889760141,2.0990140960896744,9.84290743710588,9.88,9.869653999004742,0.13709256289411975,0.09999999999999964,0.11034600099525882
Vattenfall Oy,24,2026-07-28,2026-08-27,9.88,9.98,9.64,7.337356641586867,2026-07-27,110,109,1,9,8,1,0,2026-07-27,110,109,1,30,42,1,0,2026-07-27,,2.330769358838574,2.1076357635857237,9.816437800127634,9.88,9.821497721551777,0.16356219987236642,0.09999999999999964,0.15850227844822307
Vattenfall Oy,24,2026-07-29,2026-08-28,9.88,9.98,9.75,7.273444350205198,2026-07-28,111,109,2,9,8,1,0,2026-07-28,111,109,2,31,43,1,0,2026-07-28,,2.383737858732214,2.156387662292576,9.813154662681224,9.88,9.783949603749333,0.16684533731877593,0.09999999999999964,0.19605039625066745
Vattenfall Oy,24,2026-07-30,2026-08-29,9.88,9.98,9.69,7.420560909712721,2026-07-29,112,109,3,9,8,1,0,2026-07-29,112,109,3,32,44,1,0,2026-07-29,,2.4394423064978614,2.2364296591681327,9.874000964863175,9.88,9.870097170664257,0.10599903513682563,0.09999999999999964,0.10990282933574314
Vattenfall Oy,24,2026-07-31,2026-08-30,9.88,9.98,9.719999999999999,7.412508994528044,2026-07-30,113,109,4,9,8,1,0,2026-07-30,113,109,4,33,45,1,0,2026-07-30,,2.444441502445216,2.244682016947919,9.87308514909198,9.88,9.86115730344279,0.10691485090802111,0.09999999999999964,0.11884269655721091
Vattenfall Oy,24,2026-08-01,2026-08-31,9.88,9.98,9.75,7.608965424076606,2026-07-31,114,109,5,9,8,1,0,2026-07-31,114,109,5,34,46,1,0,2026-07-31,,2.4502038782019016,2.260384264078928,9.933750790683554,9.88,9.915804906446661,0.04624920931644638,0.09999999999999964,0.06419509355333908
Vattenfall Oy,24,2026-08-02,2026-09-01,9.88,9.78,9.75,7.608965424076606,2026-07-31,115,109,6,9,8,1,0,2026-08-01,115,109,6,34,47,1,0,2026-08-01,,2.405411552632275,2.2305468420400443,9.920313093012664,9.88,9.906853679834995,0.14031309301266504,0.10000000000000142,0.12685367983499596
Vattenfall Oy,24,2026-08-03,2026-09-02,9.88,9.78,9.75,7.608965424076606,2026-07-31,116,109,7,9,8,1,0,2026-08-02,116,109,7,34,47,1,0,2026-08-02,,2.371817308455055,2.208168775510882,9.910234819759498,9.88,9.900140259876247,0.13023481975949913,0.10000000000000142,0.12014025987624777
Vattenfall Oy,24,2026-08-05,2026-09-04,10.2,9.78,9.75,7.585975403556771,2026-08-04,117,109,8,9,8,1,1,2026-08-03,118,109,9,34,47,1,0,2026-08-04,,2.3466216253221397,2.1985457865155684,10.119779108663673,10.2,10.210356357021702,0.33977910866367367,0.41999999999999993,0.4303563570217026
Vattenfall Oy,24,2026-08-06,2026-09-05,10.2,9.78,9.985,7.4775578248974,2026-08-05,118,109,9,10,9,1,1,2026-08-05,119,109,10,34,47,1,0,2026-08-05,,2.413472368102412,2.1899154889974835,10.107309057899943,10.2,10.104741994168466,0.327309057899944,0.41999999999999993,0.32474199416846616
Vattenfall Oy,24,2026-08-07,2026-09-06,10.2,9.78,9.98,7.496314151846784,2026-08-06,119,109,10,10,9,1,1,2026-08-06,120,109,11,35,48,1,0,2026-08-06,,2.490714819852459,2.269297160523762,10.136108691509772,10.2,10.135683393711163,0.35610869150977287,0.41999999999999993,0.3556833937111641
Vattenfall Oy,24,2026-08-08,2026-09-07,10.2,9.78,9.98,7.491129336525306,2026-08-07,120,109,11,10,9,1,1,2026-08-07,121,109,12,36,49,1,0,2026-08-07,,2.543957576927648,2.322894332431126,10.150526074035886,10.2,10.150207100686929,0.37052607403588667,0.41999999999999993,0.37020710068692964
Vattenfall Oy,24,2026-08-09,2026-09-08,10.2,9.78,9.98,7.491129336525306,2026-08-07,121,109,12,10,9,1,1,2026-08-08,122,109,13,36,49,1,0,2026-08-08,,2.5851858485644095,2.364388415192018,10.162894555526915,10.2,10.162655325515196,0.3828945555269154,0.41999999999999993,0.38265532551519676
Vattenfall Oy,24,2026-08-10,2026-09-09,10.2,9.78,9.98,7.491129336525306,2026-08-07,122,109,13,10,9,1,1,2026-08-09,123,109,14,36,49,1,0,2026-08-09,,2.6161070522919805,2.395508977262687,10.172170916645186,10.2,10.171991494136398,0.39217091664518655,0.41999999999999993,0.39199149413639844
Vattenfall Oy,24,2026-08-12,2026-09-11,10.2,10.56,9.95,7.543820451436388,2026-08-11,124,109,15,10,9,1,1,2026-08-11,125,109,16,37,50,1,0,2026-08-11,,2.6381159304060313,2.4102795132020534,10.194580914552725,10.2,10.201229989391532,0.3654190854472752,0.3600000000000012,0.3587700106084686
