basis,support,cohort,model,term,n,issue_days,first_issue,last_issue,mae,rmse,bias,correct,wrong_way,missed_move,false_move,actual_up,actual_flat,actual_down,predicted_up,predicted_flat,predicted_down
observed_seller_data,native,intersection,lag_7,all,117,39,2026-05-19,2026-06-26,0.5368931623931624,0.7830368743432181,-0.484137606837607,38,0,76,3,67,40,10,1,113,3
observed_seller_data,native,intersection,lag_14,6,39,39,2026-05-19,2026-06-26,1.1512333333333333,1.2523750594319498,-1.1512333333333333,1,4,31,3,36,3,0,1,31,7
observed_seller_data,native,intersection,lag_14,12,39,39,2026-05-19,2026-06-26,0.21930769230769237,0.2869918430003159,-0.08147692307692317,14,0,25,0,15,14,10,0,39,0
observed_seller_data,native,intersection,lag_14,24,39,39,2026-05-19,2026-06-26,0.17072820512820513,0.2578386048555302,-0.15417948717948748,23,0,16,0,16,23,0,0,39,0
observed_seller_data,native,intersection,lag_14,all,117,39,2026-05-19,2026-06-26,0.5137564102564103,0.7565906761232135,-0.46229658119658135,38,4,72,3,67,40,10,1,109,7
observed_seller_data,native,intersection,lag_21,6,39,39,2026-05-19,2026-06-26,1.1368794871794872,1.2357441182936846,-1.1368794871794872,5,3,28,3,36,3,0,5,28,6
observed_seller_data,native,intersection,lag_21,12,39,39,2026-05-19,2026-06-26,0.22604102564102563,0.2826086494039924,-0.0738564102564103,14,0,25,0,15,14,10,0,39,0
observed_seller_data,native,intersection,lag_21,24,39,39,2026-05-19,2026-06-26,0.17969230769230754,0.2537218232429832,-0.1493230769230771,23,0,16,0,16,23,0,0,39,0
observed_seller_data,native,intersection,lag_21,all,117,39,2026-05-19,2026-06-26,0.5142042735042734,0.7463926442575043,-0.4533529914529915,42,3,69,3,67,40,10,5,106,6
observed_seller_data,native,intersection,lag_30,6,39,39,2026-05-19,2026-06-26,1.1454076923076923,1.2644174048113004,-1.1454076923076923,4,0,32,3,36,3,0,4,32,3
observed_seller_data,native,intersection,lag_30,12,39,39,2026-05-19,2026-06-26,0.2482153846153846,0.3079800393132396,-0.08180512820512831,14,0,25,0,15,14,10,0,39,0
observed_seller_data,native,intersection,lag_30,24,39,39,2026-05-19,2026-06-26,0.19233333333333347,0.2682767562587524,-0.1538974358974364,23,0,16,0,16,23,0,0,39,0
observed_seller_data,native,intersection,lag_30,all,117,39,2026-05-19,2026-06-26,0.5286521367521368,0.7671539385186102,-0.4603700854700857,41,0,73,3,67,40,10,4,110,3
observed_seller_data,common,native_eligible,lag_0,6,39,39,2026-05-19,2026-06-26,1.2093999999999998,1.30664865777752,-1.2093999999999998,3,5,28,3,36,3,0,3,28,8
observed_seller_data,common,native_eligible,lag_0,12,39,39,2026-05-19,2026-06-26,0.25162051282051295,0.3218137891262506,-0.12529230769230792,14,0,25,0,15,14,10,0,39,0
observed_seller_data,common,native_eligible,lag_0,24,39,39,2026-05-19,2026-06-26,0.1996153846153846,0.2810627450706812,-0.17723076923076958,23,0,16,0,16,23,0,0,39,0
observed_seller_data,common,native_eligible,lag_0,all,117,39,2026-05-19,2026-06-26,0.5535452991452993,0.7937025253855621,-0.5039743589743592,40,5,69,3,67,40,10,3,106,8
observed_seller_data,common,native_eligible,unchanged,6,39,39,2026-05-19,2026-06-26,1.1407102564102563,1.2835555472282894,-1.1407102564102563,3,0,36,0,36,3,0,0,39,0
observed_seller_data,common,native_eligible,unchanged,12,39,39,2026-05-19,2026-06-26,0.2390974358974359,0.30843993555659077,-0.09463589743589751,14,0,25,0,15,14,10,0,39,0
observed_seller_data,common,native_eligible,unchanged,24,39,39,2026-05-19,2026-06-26,0.1907384615384615,0.2677435014414031,-0.16112820512820525,23,0,16,0,16,23,0,0,39,0
observed_seller_data,common,native_eligible,unchanged,all,117,39,2026-05-19,2026-06-26,0.5235153846153846,0.7776753005444644,-0.46549145299145306,40,0,77,0,67,40,10,0,117,0
observed_seller_data,common,native_eligible,always_up,6,39,39,2026-05-19,2026-06-26,,,,36,0,0,3,36,3,0,39,0,0
observed_seller_data,common,native_eligible,always_up,12,39,39,2026-05-19,2026-06-26,,,,15,10,0,14,15,14,10,39,0,0
observed_seller_data,common,native_eligible,always_up,24,39,39,2026-05-19,2026-06-26,,,,16,0,0,23,16,23,0,39,0,0
observed_seller_data,common,native_eligible,always_up,all,117,39,2026-05-19,2026-06-26,,,,67,10,0,40,67,40,10,117,0,0
observed_seller_data,common,native_eligible,always_down,6,39,39,2026-05-19,2026-06-26,,,,0,36,0,3,36,3,0,0,0,39
observed_seller_data,common,native_eligible,always_down,12,39,39,2026-05-19,2026-06-26,,,,10,15,0,14,15,14,10,0,0,39
